author,message
Pastor J.J,Please be patient. Agrizzi is teaching the Legal team how to make Pizza. He will be back soon. @Joanita Hilton I have a friend in Empangeni who has a Cart and a very old Donkey that walks with a limp. Will that help the cause? hehehehehe Dudu can do what so many others are doing. Join the SASSA queue. Who wants to go out for lunch today. No hearing but free lunch
clive oconnell,Are the team sharing the bricks of money 💵 out now ? The only fully employed seems to be non productive lawyers Agizzii will be in car accident before then 🚑
potwana potwana,Agrrizi andizi HAHAHAHAHA AGRIZZI ANDIZI
Toibo wa Toibo Antimba,Zondo again with food This is a glamorising
Abe Molefe,commision want rao rao delay via zondo speakes slowly another delay comes they must close this commission once n for all lawyer's stage today agh kgot
hendrix jeranyama,agrizzi spillage where is zondo "how much does dudu need  dudu must answer why is zondo not saying yes yes yes yes yes
Derick Mampuru,what time are they starting
Albert Noah,But SABC should provide commentary on the delay
siyanda sibiya,"we trust this Mlungu
Joanita Hilton,"so guys and girls "@Pastor J nooooo we just need her to get to court timeously
Ricus Ellis,Dont worry...the cops are the criminals
Siyabonga Magwaza,Has Aggrizzi lost some weight There is no better witness than Aggrizzi...today my boss is gonna fire me and I will re-employ myself I swear Dudu Myeni is not broke ...just forgotten all ATM pincodes @Tsepang Ranneileng Not when Aggrizzi is around @khumba mutshinya lol Aggrizzi will withdraw everything he said .... Now we know why court cases take so long....these lawyers are here to make money @Peter Staffen 👌 Postponement ...geezz!!
Oswaldo Kamatuka,watching from Namibia
Zama Kubheka,@Mbuso Ndlovu lol but why so early in the morning @Edson D Dube lol ag no man...i so wanted to c my Agrizzi today
Murugasen Ganesh,what time we going start
Sammy Riddle,"eNCA and OUTA has offered to pay now that's a plan @Derek Main adjournment should resume soon
Bhekinkosi Nduli,"Just joined in
Linda Dlalis,dudu myeni is broke guys
Precious Ntshangase,Whats happening kanti? 😐😐😐🙄 postponemnt? After waiting so much for Griizy bear
mandisi ntauzana,Stats must do the right thing "This is waste of money
Themba wa ha mushandana,Its 10:50 now!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! mxm arg
weaverbird b,who is the guest of honour today who are we waiting for now who is in the hot seat the commission should accept questions from the audience then we will get somewhere agrizzizi is have a big breakfast somewhere I they served food and whine yes whine agrizzi. would. be back in a flash GEUSSING GAME ;;how much does Zondo weigh I hear some action go and check out the interviews for deputy Chief Justice. Malema crucified Zondo only one question needs asking WHERE IS THE MONEY NOW ???
khumba mutshinya,@Siyabonga Magwaza Agrizzi babes wa ma file the best Witness ever Can Hlaudi comeback this Agrizzi is not funny 😃
Tsepang R,The hearing will be postponed so don't hold your breath @Siyabonga Magwaza This commission is a joke! The commission of delays and short adjournments I thought time was a major constraint in this commission! But the way things are going it seems as though they have all the time in the world!
mafuta,i swear the logo is smiling at us. Check the scales. nobody can accuse the big man of being economical with words.
Linda Oliphant,We are back
Yandisa Maleki,where is Mr agrizzi
Thandeka Phakathi,I also want Hlaudi back
Jane .Blamire,@ ​weaverbird bird Excellent Idea! @Jacob Mahase Now that i would take a day off to watch These lawyers must organise properly!!! More delays!!!
PROF DAILY,agrizzi not avilable
Norma Mzimela,@thandeka precious I also miss him😀😀😀😀😀😀
hermes mataya,who is not available?
HBWorx,So many misunderstandings in this commission
Jacob Mahase,when the vbs saga will be heard here and we hear the big eff sharks 😃😃😃😃
BABALWA CHUTU,"@Tikvah Olam 
Raven Penny,Waterford big crook no state capture today
Wilson khosa,lol... Where is the big man Agrizzi
PETER STAFFEN,Shame i feel sorry for the man Problem is the people want to run but cannot hide Mbuso Ndlovu it not him Mbuso Ndlovu he is not absent Mbuso Ndlovu get your facts striaght it is Wakeford
peter sikoshule,this state capture thing is a waste of money and time
Speckled Trim,Justice delayed is always a reason for suspicion. just saying
Oupa Mopapa,we jst need more evidance
Andrew Fraser,Enzo2000 agreed on
MOSA MASENGANE,yoh can they start toe
mcebo Mdletshe,"350 M already been used
Samuel Malimabe Lephuthing,Can we @ least see Mr Agrizzi
Deon de Swardt,R 1m per day ?
GOOD AFRICA TV,why postponed🙄🙄🙄🙄🙄🙄
Thabo Nkosi,ya me too
xolani christopher,Is chairperson bribable 😀?
Andre Ackerman,A circus at its best!!!
