author,message
Yolo More,"Is Zondo aware that we are not hearing anything ENCA? Why are we kept in the dark SABC? yass "This should be given to the veteran Pretorius Maleka left long time ago. Yho! Aggrizzi accent "Nyasimi Fake names Afrikaans speaking accent. This country is a mess why are they looking up the wall? Looks like they are looking at the screen. we are self employed. So he also incriminates himself. He is implicated himself. "Yes Gee "Yes Thando Nkutha where have you been. I am sure you have been in Pluto.😂😂
John Martin,Are they going to stream Col Naidoo audio live? Silent witness!
Nielan Nagan,agents are using blockers Sandile is an awb troll
Reinette Raubenheimer,@SABC NO LIVE STREAMING? pretorius or hofmeyr
welton paulse,witness will be testifying via Whatsapp what does this Naidoo
Mike Moja,En nou?
Vuyani Patrick Madalane,"maybe the food had indian peanut
Themba Mdlalose,Institutions that work properly are rare in SA ANC are the worst skunks this country has ever been cursed to endure
Nyasimi Geoffrey,1. 2 mike check Paul Joseph Pretorius would have taken up this cross examination i dont have confidence with this white woman Even Ms Thandi Norman has some nice legal application No one is brining race sir actually we are rooting Paul Joseph Pretorius who is as white as it can be THank you heheheh jamnanda had his 3 days last november @Gee Peex1 hahahhahahaha avoid the name NAIDOO is it the real name if i may ask i guess no aaaaaaaaaaaaaaaaaaaaaa Priority Crime Investigation Imediately @Nielan Nagan many people have blocked him we have been having an issue with him for some time @Mbuso Ndlovu i think he will...Its a shame really for that most powerful office int he free world to have a clown like him its a shame....Steven colbert travor conon are having a field day this one is broke..... but ZONDO will help....like the way he keeps assisting Ms September that cape flat girl he is on the board room down on second floor am having a drink tooo Naidoo Voldemort yes remember his laywers are present to help
sandy aitken,yippee
Graham Jackson,Folks lets for nce not bring in race "Then say the name of the person and not ""this white women""" Geoffrey are we clear Moses please go on a dating site so we can leave things real here. Expect you now to sign out You are welcome. I got rid of her a long time ago
Brian Amery,EFF 'em
Lucky123 Thwala,indian this witness was involved in looting this thief he says he give all information to the hawks of looting including himself this bursted must go straight to jail we must be shown this bursted thief
Bangtan's Girl,anyone from india?? :gar:
Sicilian - সিসিলিয়ান,Hi
Mbuso Ndlovu,TRUMP MUST GO HE MEESED UP THE STATE @Nyasimi Geoffrey Money is everything Where is this coward hiding?? @Jane .Blamire No Naidoo is the name he was given in the commission I is not interesting when the corruptionist testifies in camera We need to see him!!!!!!!!!!!! @Gee Peex1 We need to see his face if he lies At least they must show us a picture of him Grade 9 is the new matric I have a degree in stupidiology @Jane .Blamire no wonder he is hiding What is the educational qualification to get a tender???? @Moses Sandile u were headhunted? @DJ DJ then why schooling Zondo is a referee and a player "I hate when these fools say ii can't remember @Anne M. She is liying Guys where can i get some beers????????????? which one/ where
GURU,we are going live. Hear us our out..oops
martin bekker,i think the advocate is a little bit unserten? the advocate is out of her dep and totale emosional desterb?
Reward Mushayabasa,I think the the learned Advocate is out of her depth. Me thinks That might explain why she is not a State Counsel @Keith Hodgson Colonel Naidoo is like a sithokoloshi
Brenda Mpitsang,yooooooo bengderrerrem but it liberates him to say it all "I was nt going to jump into that car ..I would want to know why the jumping over the fence and cause a scene! would not even let them leave until I have checked if everything in the house was ok.
Mumong Mokobane,Fraudsters masquarating as Parliamentarians.
Keith Hodgson,Reward Mushayabasa - I agree with you.
DJ DJ,you cant as he is under protection @Mbuso Ndlovu zero required just know who is on the panel and give a cut 🤣 @Mbuso Ndlovu depends on what the tender requires
Danie Nilsen,i am a whistle blower who heard from another wistle blower that said his aunt is working in naidoos home that he does not eat samoosas but like russians now someone must go to jail for that grade9 new matric then i have a degree with grade 12 yea i am a genious @Gee Peex1 then my gr 12 must be a degree either celcious or farenheit or not @Mbuso Ndlovu then you are qualified to go to parlemament] "icognito sounds wrong but meant right he is in deep state to get a tender we must consult with agrizzi before it is to late and it must be signed by mr Thug Ace mageshule why can the pet monkey not give tender permission @Gee Peex1 yes how silly of me must remember that "with all respect she reminds me of myself when i started on internt marketing i am a voice medium an can recognize people by voice and when they lie or telling the truth what i sofar picked up he is lying to tell the trut i hate it when i write something and then nothing shows like my writing is in writing protection @Gee Peex1 i hope you can see this and thank you for feeling my pain sniff @Jane .Blamire i thank you jane hoping it is not in protection @Jane .Blamire he is under protection how can he remember who he is even your name change new wife and kids new feirrari and some watson millions @keisha rozelle well i know basson is also very poiseness i am scared of him after looking at a photo of him crime and intelegence? where does the intelegence comes in do they all have gr 9 "it is like this ...when you die after a while the maggots millions of them start the feast and what about zillta i admire an idian busnesman he can sell you anything you do not need at a discount and still make 100 percent profit and the number is 007 colonel naidoo the judge and myself must go on some sort of a diet we look bad a bottlestore?
Philani Madlala,The invisible man
TREYZIN MLUNGE,Lol indeed @mbuso
Ben Dover,@Moses Sandile lol
Moshoeu Mabusela,Matric no longer important in SA. Is this a bad dream or what? Who set this standard for us? lock them up man. "Our education is fast losing value. where the leaders?
Cuvz0,Hosting custom matchmaking EU
Khaya Nomoyi,He is the man inside and it will be difficult to doubt his evidence.He is willing to bring everyone down including himself. "Where are the lawyers Will we ever know who are these FM's?
Wildthing,Mbuso soon IA then all the small work will be gone. and you will need a much higher than metric. people need to study technology and programming to service AI. AI
JG,Dont Need to be educated to loot in SA "are you saying Blacks are not Smart Our leaders on all level got the best Masks in the world.They appear like they have the nation at heart but just fill their own coffers Guptas was stealing the sugar out of the tea Guptas can sell to our leaders Sand in the desert We all work to protect our selves and Family yet in Crime protection you retire and they take care of everything We like in a spy movie with FM 08 and FM09 etc "Dupta "Mr India is an Invisible Man He can see you and you cannot see him Mr India
Apparently Allegedly mokoena,this woman doesn't know what she's doing
David Tuer,"Danie Nilson- Check out Adv. Wentzel
HAKAN - KURD - GAMER,:jakepeter:
keisha rozelle,"The learnerd advocate is one of the most devastating prosecutors in the country "We are so used to hearing aggressive and loud prosecutors because of Gerrie Nel They use FM because the original FMC was not allowed
LEBOGANG SIBJENG,hallo to y'all 🙋
makhosi nobhatyi,"Naidoo is drinking lot of water
Easy D,"@ Pastor J @ Danie Nilsen .. Lol
