author,message
Yandi Masina,👀 Guess it's just me and Zondo today🙆‍♀ Where's everybody though?🤔 😃 "Can they eWallet us
Morolo Jay Maponya,busy getting ready for long holidays......to Moria
Abel Manyedi,@Yandi Masina... it's d 15th ppl r out t enjoy their salaries 😀😀😀 where's d chair bathong volume plz
Mangi Mbhele,reminder: eWALLET salary today to @Yandi Masina 😊
carnoth ngomane,@Yandi Masina i think Mcbide's testimony did not reach people's expectations hence they voted with their absence today "@Michael Wild i agree with you "@Afika Centane The Polokwne Conference was the down fall of the ANC @Thando Nkutha lol @Robert Russell why blame PW? @Thando Nkutha I get you bro "@makhosi nobhatyi DA is using the ANC as t election campaign cos they have nothing in store for the country @makhosi nobhatyi they know they wont win hence they play the man not the ball "@Derek Main i know who to vote for and why @Derek Main then you are just wasting your time sir cos i know where i stand and i dont get moved any force whatsoever @Ndim Mavuks you are correct @Derek Main keep dreaming @Derek Main the sand feels cooler than your advice "@Ndim Mavuks i dont agree "@Derek Main thats your problem @Ndim Mavuks dealing with corrupt individual doesnt have to follow rather it must be done now than later @Derek Main you are like a doctor who give diagnosis but cant advice on medication hence i dont take you serious.
funicanz,Morning
Phindile Motaka,Morning
Derek Main,Morning @Nelson Musoliwa That's because we allow our leaders to get away with it. @Nelson Musoliwa Yes - it should be a law that all government ministers must use public facilities. "@Nelson Musoliwa Theri kids must go to government schools @Robert Russell Unfortunately the Geneva convention is no longer worth the paper it is written on. The US regularly flouts it with their actions around the world. "@makhosi nobhatyi If they all faced the consequences for their actions @PATRICK MANALA That is true and they are nothing but fools. @makhosi nobhatyi @Ndim Mavuks You must be fools to vote for a party that has proven to be so corrupt. You are voting for more of the same. @Ndim Mavuks I know you can't be convinced. I'm just telling you you're a fool if you can't see the ANC is corrupt to the core. "@Ndim Mavuks Have you not been listening to anything at this commission?? You need to take your blinkers off. It seems the problem is not the ANC @Ndim Mavuks The point is that the ANC is corrupt to the core and their members can't seem to see it. @Robert Russell Hence why I say the ANC is corrupt to the core. "@Ndim Mavuks I don't need someone to explicitly say ""The ANC is corrupt"". It can be deduced from the evidence so far." @Ndim Mavuks Can you honestly say that none of the evidence here has pointed any fingers at ANC members? @Cerebis Yes exactly - look at the bunch of criminals they have put forward for us to vote for. @Ndim Mavuks I understand your historic connections to the ANC but that organisation is dead a long time ago. The ANC of today is an entirely different animal. Time for you to find a new hero. @Cerebis One thing you can be sure of with Ace is that he is plotting something. He's a gangster. @Cerebis Ace is busy setting up a parallel government. @Ndim Mavuks @Rusty SpyGoat As I said Ndim (and I know you have some difficulty comprehending) - it doesn't have to be stated explicitly - it is possible to hear evidence given and form an opinion. @makhosi nobhatyi What both the DA and the ANC are doing in Alex is shameful. Just finger-pointing with no accountability while the people suffer. "@makhosi nobhatyi If you are trying to imply that the ANC is not using the Alex situation for politicking @Mandla cyril Mankoe I'll bet you believe in the tooth fairy too. @Cerebis I agree - politicians being politicians. Shameful! @carnoth ngomane So vote for any other party execpt the DA or ANC then. It's not rocket science. @makhosi nobhatyi I put it to you that the ANC is not capable of fixing problems they created in the first place. You're only fooling yourself. @Mandla cyril Mankoe True - the only problem is the ANC bag would be empty. @Brian Mercado That's right - we have just changed one set of corrupt politicians with another. "@carnoth ngomane You're going to get my advice anyway. Use it "@Ndim Mavuks You're using the ANC stratgey of ""If you tell a lie often enough @carnoth ngomane That's fine by me - I'm not going to stop saying it. You will wake up eventually. "@makhosi nobhatyi Absolutely @carnoth ngomane And you keep your head stuck firmly in the sand. @makhosi nobhatyi Why don't you tell us a bit about how the ANC cadres stole the money that was meant to be used for improvements in Alex? @Themba J Thobela A conservative estimate. @carnoth ngomane Coming from someone who thinks the ANC is cool - that's no surprise. @Ndim Mavuks Expecting the ANC to sort out corruption is like expecting the Ku Klux Klan to sort out racial prejudice. @carnoth ngomane There are plenty of alternatives. It's just that the fool ANC supporters can't see the immense harm the ANC is doing to SA. @Themba J Thobela And the common denominator in all the looting is the ANC. @carnoth ngomane Dude! You're hurting my feelings! 🤣
nyiko nyiko,corruption is bad 4 our country
Blaze 613,Is Rob giving names or just stories? I only have 3 beers left in fridge...Ace where are you??
