author,message
mandisi ntauzana,Siqala what time?
Granny Mokwena,enca is live now chair is bias
Bra Eva Ndlela,what's happening now?
Keith Hodgson,SABC is pretty useless. ENCA has been on for some time
Yolo More,Its lit on ENCA. SABC is useless "But new age is new But all this rubbish is not helping him. He thinks he is smart. Manyi must come back. He is deliberately buying time talking nonsense so that by 14:15 he is released. Shifting blame. Felix Muyoba he is a qualified liar. Yes most of ATM leaders are apostles. "Pastor J Prophets are those who their ears are next to God's mouth Pastor J. "Pastor J Once Ramaphosa became President Manyi smelt unemployment thatswhy he ran away to ATM to withdraw money from congregants. Manyi is fumbling as usual. He said he is on a hurry now he is wasting time.
Margareth Waterboer,What’s up here
Mikey Likesit,no feed here her pink top is cute she's going in Gor the kill
Granit Xhaka,sup ✨ likesit we need BBBEEEEE
Nonzy,"Who has watched Gotham
Akhona Gala,first time I'm seeing this new setup @Buyani thanks 😂😂😂😂😂😂😂
Buyani Mhlongo,@Akhona Gala They moved to a new location in JHB @Kay Kay Zondo is trying to make him feel comfortable in order to catch him.
MIKE DURBAN,Mmmmmm....very loooong explinations this Bra has....ne... Signs of guilt......!!!!!!! Loooong stories this fella has..........mmmmmm @tina ........Now ..now.......the race card again...... @tina ....you brainwashed...girl.... @Pastor J .....spot on..... @Eliot Chauke .....Zumatjie never got anything out of it hey.......... @Donovan Peters ...Heheh.......more shower water......heheh And falling into his own trap......heheh Eeeeesh........loooooooooong stories ...this fella has... @tina ....and PAID for it.....through Hard Work...ne... @Eliot Chauke .....Man.....your thinking is really warped......think Bud.... @Kapn Krunch ....spot on Bud.... Punish them....big time....and bring back the money... @Eliot Chauke ....Mandela was a real Man.... @Eliot Chauke ...shame Bud......you have been brainwashed.......eeeeesh.. Shame.....this Elloit fella has chips on both shoulders.....shame..
Claire Mcfadyen,That man Seems to have an IQ of 70ish or 80ish yet he's leading people ?! Crazy. Crazy. Crazy.
Sthakathi Khumalo,Hofmeyer raising the bar haha "Zuma and Manyi side by side Eliot Chauke Dont worry Chair knows how to control her points everynow and then "I think he wants to say Who are ANC terrorists now?? Lets move on.. "Eliot Chauke She admits Eliot Chauke Fair enough "Stratcom haha Chair is lost even.. "Hofmeyers relationship with Manyi is like cat and mouse Ewu namanje nisqhubeka boMbhengest 😛 "I don't think Hofmeyer should have led him here Angelo Mondlane Uyabanyisa abanye bo-Mr Know it all!! That Nkandla bunker has a lot of secrets!! Even Gaddaffi stash is still in there not in Swaziland "I think we are probing probabilities here "Certainties Thamsanqa Nomayela He is sticking to his story right "Monopolies Have they been tested elsewhere should be the question Devoid of developmental agenda dead😂😂😂 That response was personal shame!! "tina GUPTAS WERE THE SMALL FRIES HERE!! You are correct "Its not even about race "Eliot Chauke Lets be honest bro "BUT Jimmy is such a comrade If only Pravin got the same treatment like Manyi.. just saying!! Manyi Manyi... bathathe booy!! Like that ESKOM turn around paper "I am reminded of Moises Machel "He is busy looking for investors and more debt really but soothing Now he is dictating.. dank manyi Unenkani Manyi but maybe sometimes one needs to have nkani to defend what you believe may be right.
Mazwi Comfort,what to do with State Capture? Kruger this is becoming a joke
Kay Kay,Zondo is leaning more on Manyi "@Buyani Mhlongo "@Elliot Chauke "@Elliot Chauke He's being sacarcist to indimindate the evidence. Chair is bias today and only protecting Manyi than his evidence leader "@Elliot Chauke he's contradicting himself now Ms Hofmeyer is giving Manyi his own words to hang himself with circulation and Readership is two different aspects Is Mr Manyi still in ATM party leadership? He's justification of TNA is evasive He's evasive Manyi is running away from the topic or questions
