author,message
PETER STAFFEN,is it going to be on today
Natacha Nsengiyumva,it should be that is true @Bruce Greed seems to always win
Desmond Masilela,Yesterday we wait until 15h00 before we got feedback. Now is 10h05 its still not live. I like this man his so brave. @Friday Ngobeni. 😂😂😂😂 to who? I want to know the name of politician who received the money This man has got all answers....
siyabonga dlamini,is agrizzy still alive though ohk let me chance to enca kwashuba madoda yeah hey we need some names today big names he near dead so he have nothing to loose yes a @brandon now the country would change to another direction everyone hey I head yesterday mabuyakhulu some stuff of his house we locked down That's means many would be going down there must we are all suffer as the country there must go to jail this is breaking of the law there time now is over this testimony is the one that was lacking now with this npa have every to prosecute them there must all go down now 1st there are dividing us as the country anc I don't care who would be on top as long there are not corrupt who @thando nope he won't he is the state witness because it's our party @makwa not all of them a corrupt and you must remember busasa have been under investigation for 10 years so if he didn't turn on them he was doing the signing not watson if eff can win I would leave the country couse it's would be strikes all over the place free for everything 😂😂 I'm tired of people who always remind us about apartheid we are now new rainbow nation there must all go couse there are doing this because there are saying there fought for this freedom very true Mandela was the 1st one to sell us out to the devil bye @eugene what is his problem anyway Lol who blocked him lol ohk @ellipse thank you @thando he was working there for 20 years just imagine some serious stuff it's was always about Gupta brothers now you see this goes deeper yeah @thando yes @elloise so those in power are the one who got hurt the most you know yeah remove all the corrupt and put fresh blood where is white or blacks who would move the country in the direction of Jesus Christ @Allan obviously there were getting paid off @patient thando there are coming there will disrupts the inquiry @ntsele what are you talking about couse we are watching live stream here lol @alloise I don't even like the blacks also as I'm black to the division there have to our country it's bad I for one follow the teaching of Jesus Christ it's make me to be in peace with everyone I guess you can try @houws hey we need to break this hatred between blacks and white who is the secretary it's people like eugene who are not needed in the community because there divide the country is he or she here on the inquiry @houws true @Bruce we are all African since we are in South africa because this healing start by helping each other to move the country forward one thing I've learned from our white brothers as blacks we can learn to eat healthy and working hard to achieving our dreams rather then waiting for the government @Bruce I don't know to a dress the race maybe teach me what must I call whites couse I don't know anything I would say @ntokozo he was working over there for 20 year yoh the boom shelf are starting now the ruling party it's not fair to appropriate land without compitation @eugen @Bruce agrees with you over there if we can set our constitution on the rock of Jesus christ nope eff there hate white people we can't give them power if you don't vote you don't have a say @Dave Jesus is not a race but spirit LOVE then we are idiots @nokthula so what Dave I've never pick it up on the bible what I know is that Jesus is spirit who came from heaven I don't need a proof Dave couse I have the proof he is in my heart right now talking to you ohk zizo wena you are smart neh what you would vote for very well zizo that's shows the levels of your mind there is always a room of improvement on this parties any of them without corruption should pick up there hands who is the president of that kiss party yes houws she doesn't know what did said sorry I missed that one Dave siyabonga zizo to be stupid if there all don't have a greed there should all join together and form one party to take over anc now there are all greedy nokthula it's not about the bag it's about loving your country
Always Nice2013,Watching enca they say it will come on They also waiting for the feed. "The secretary of the state capture commission of inquiry We on.
Bhuga ZA,i jst hope security issues wont be a problem again.... 💃💃💃💃💃💃💃 lol corruption started wen u were young gng 2 skool lying 2 ur parents sying at skool dey wnt 10rand wen its civis day were as da skool wnted only 5rands no political party is a saint aiy whooooa......
pierre badenhorst,this is better than netflix!
David Mlilwana,evidence is out there now heads must start to roll
Jane .Blamire,Here we go.....
Mzwanele Bekayeke,yaaaaaay!!!
Sizwe Mogale,I'm so looking forward to today but EFF doesn't even have a municipality. how are they corrupt when they are only in parliament calling EFF corrupt isnthe dumbest thing I've heard Andre is not a thinker. he knows how to sound like one but he's not coming for the land @euegene
Andre Gerber,this is better than soapies "seems like most political parties are corrupt nicely said Cargo hahaha they wil have to build 6 more jails to put all these corrupt cronies in "corrupt: ANC - Gupta related. EFF- VBS  we'll have to start a party and South Africans (the people them self must choose the leaders Agrizzi has a heart problem "Read why Agrizzi is spilling the beans on News24 Agrizzi was warned by van Tonder that Watson was going to blame eveything on him @dave east criminals don't have borders or belong to a certain race they come in all forms the commission is going to bury the ANC before elections CR is going to sit with no cabinet or MP's @Mzalwane Mzala did you follow this witness from day 1 "former min of Water affairs  they were in volved with compam they were involved with companies that Bosasa have contract with "contracts that people were bribed for to keep coalition gov coming with next elections I said in 1994 that come 2019+ the ANC will no win outright ANC planned their own downfall @Mzalwane Mzala for now. Till everybody reads what is busy happening here Mzalwane it's 24yrs later. @Mzalwane Mzala i'm not saying anything it's what the ANC and people they put in office are doing to them "the ANC don't want tainted people to stand during the election
Nozipho Thembeka,🤸🏻‍♂️🤸🏻‍♂️🤸🏻‍♂️🤸🏻‍♂️🤸🏻‍♂️ @Thando which guy?? Lol Ntsele Moses please tell us more
wisani ndhlovu,Is on 🔥🔥🔥🥊
Thabo Ndlovu,We are glad he is still alive
Brandon Tommy White,Jesus
Level Ground Boerboels,better to die for the truth that to die with the truth he is never going to be killed.. it will be useless for the ppl implicated to kill him coz the damage on their part has been done n it is documentated. mabuyakhulu is being punished by the Zuma faction @siyabonga dlamini @ siyabonga Dlamini. mabuyakhulu want to he chairperson.. he is on the CR7 slate the whole of ANC structure was suppose to be changed n we have young clean n educated ppl.. remove the old fools who are lining up for the money @maraba yes 600 hahahha "that can never be a solution a@Thando Nkutha.. the corrupt one must be jailed "@ Prescatt Smith.. stay in bahama hahahaha @Andre Gerber... I can give away my 174ha for those jail to be build Eff is corrupt n we dont need to replace corruption with ppl who are corrupt n hungry @ Toni.. so that we can turn banana republic @Toni.. be aware of what u are wishing for.. toni u are misleading ppl here eff did nothing.. no free education was brought by eff @Prescott Smith.. if u are saying freedom for blacks u mean the Africans in south africa or the world @Prescott smith. u are in bahama.. am in south africa. south African politicians are corrupt. more a special our kid. We always have a sense of entitlement and worse we are corruptable.. The only way to clean the system is never vote ppl based on their skin colour.. never vote based o revange coz that alone never benefited anyone but corrupt the system more bosasa makes the Guptas look stupid. they keep it professional @ Desmond masilela listen if u want to know 4 000 000 rand liquor one more link missing sad story listen careful here death request @Ngubane watch n listen u will hear names.. not the ANC but the members who are corrupt come back at 11:30.. kuzoshuba @ Mzamo Mkhwanazi hahaha Dudu myeni is a politician@Mzalwane Mzala.. she is a politician.. she is a member of the ANC n she is a Member of the woman's league
Amanda Watson,This man's jacket is a marquee Mncwabe not Mmwabba
Lincedile Mxesibe,woooow ziyabuya deeeeem sizova zinto thina zilanjana
ramotodi moraba,"ohhh LORD  "page 600  "I hope 30  15 million minus 2bilion goes to ANC AN Alliance "500000 to campaign for ramaphosa and his son doing business with bosasa! wht kind of business vote EFF Even judges are corupt in SA vote for change like DRC "Whr is bosasa office  jambo liquor metropolitan auditing "shame ANC  "can bosasa come an install security fence for free like other  "tenders  "NPA  "NW  youth league anc
Bulelwa LETICIA Makhanya,"@siyabonga dlamini true hey "some people never learn "@siyabonga Dlamini R70000 just laying around in a rubbish bin. oh wow! "some people are just opportunist a series Vusi he is really throwing booms yhoooo!
Sandile mngomezulu,they should just make a movie of this commission... kfiwa kakhulu
Makwa Choma,African national corruption EEF are graduates of corruption from the university of ANC "We south africans should love our country more than we love political parties "If u listen this "Why ANC Iam Asking a question here please When listening to this why go reward the ANC with votes "Will they face the might of the law
kingsley spelling bee tv,OFFICIALS will definately change their old ways of corruption. They are exposed daily LOOOOOOOOOOOOOOOOL
Bongumenzi Nxumalo,Can the banks also be consistent with Bosasa and close their accounts!! "la Chap kaMr Watson Dr Khotso de Wee
Mooks689,Makwa Choma​African national corruption😀😀😀 Bulelwa LETICIA Makhanya I agree with u they will never stop untill the government take corruption serious and punish them. Thando Nkutha​ RIP ANC 10 feet underground Mzalwane Mzala why they dont take others to jail thats my problem. "Tholithemba Ntsele​IDEAL parliament. 30% ANC Bruce Thackwell​ there 42-3 commandment this 10 commandment is a pure fake I wish I was their Ghosst worker jess man😀😀😂😂 Jonathan Palivili ill never vote for racists Jonathan Palivili DA racism is pure and clear
Scyaa Glad's,I'm with you @kargo karas
William Pieters,well said @Cargo Karas We want a Khoisan President next.
douglas gwambe,ANC ANC ANC CORRUPT CORRUPT CORRUPT ANC preconference now please to explain this nonsense to the nation.
G_man,how many people have volunteered to testify so far?
Prescott Smith's Fly Fishing Academy,I am watching from The Bahamas. I hope South Africans vote for the EFF PARTY. the freedom of Blacks all over the world are depended on them winning note Europeans and even most persons of Indian decent are all voting against the EFF. this should show blacks that they are not interested in Africans being in control of their Land & MINERALS kargo I am only telling you what we see from all over the World to vote anything other than EFF it means blacks all over the will remain oppressed for land and mineral sciences. "cargo karas who to vote for that will bring equality for Africans? note from the Berlin Conference in 1884 Africa and it's people Toni John note I ask Cargo who to vote for that will bring freedom for Africans from those who are only their to exploit Africa & her people for their land and MINERAL RESOURCES. Cargo Karos having black skin does not mean a person is not EUROCENTRIC in their thinking. you still have not answered me when it comes to freedom for Blacks. Toni John If EFF win it would mean FREEDOM FOR blacks all over the globe. we have the same mindset of a small GROUP of European BACK who exploit the economy. same throughout the entire region "Cargo Karos EFF winning means it would change the state of Blacks all over the world. The US "Cargo Karos yes I am in The Bahamas Cargo Karos 90 of living things on Earth are are between 30 degrees north and south of the equator. Europe is completely outside of that zone. it's always about land & MINERAL RESOURCES. Dave east I have studied resources globally for over 28 years to understand why we were enslaved & continue to be exploited. it's all because of The Land & MINERAL RESOURCES. Dave east I see what is happening in the DR. none of European countries & The US want to lose control of the mineral in The DR and all through Africa.
Singi Mathebula,who will ever go to jail realy? sickening. 80 at the expense of the black majority. 😭😭 do we have jails for the haves? the answer is no . jails are for the poor absolutely. eff i maseve wa vukungndwana spot on choma its time for the country to consider reviewing the electoral system . this party thing is not taking us any where. yeees teddy
Victor,80??? terrible
Houws Houlinou,@Bulelwa LETICIA Makhanya Do you think people who vote for the ANC also votes against the EFF? @Singi Mathebula The problem is power corrupts @Andre Gerber And a law prohibiting public officials to do business in other areas. Also their finances should be published each year @ramotodi moraba But the EFF is part of the judicial committee appointing judges @Toni john Nothing is free. You will be paying for it when you start your job and start paying tax You are scr#wed if you think any party is going to bring positive things into your life. Everyone in the private industry knows you won't get any business from government if you don't pay bribes @Elloise Jofriet It is because we look at each other as different races rather than individuals. Governments fail no matter skin color @siyabonga dlamini Agreed. People in power tend to be corrupt. We need to start talking to each other about the problems in this country and leave race at the door Politicians shove millions in their pockets while we normal citizens accuse each other of racism. Great distraction @siyabonga dlamini But I do believe I can make a difference by trying to change the attitude towards different races by being reasonable @Tebogo V The same happens in the white community. Also not just black people @siyabonga dlamini Dr Khotso de Wee @Bruce Thackwell True. Education is key @Bruce Thackwell We would solve so many problems @Mzalwane Mzala But he is part of the commission who is inquiring about exactly what he is part of @Mzalwane Mzala Its like appointing a cop to solve a murder case he himself commited @siyabonga dlamini yes helping . . . not hardening hearts against each other @Thomas Dube The sooner you realize that political parties are not there to serve the people the better you are off. They are ALL there to serve themselves Always question their motives because it is NEVER pure @Phillip Moshapo That is why we need the ANC in government with less than 50% so that the opposition has more power to keep them to account @Thando Nkutha We don't need new guys with empty pockets @Thando Nkutha I'm saying we should grow the opposition. Mental slavery is to give ANY party all the power to do as they please without consequence @Thando Nkutha The problem is SA cannot give ALL the power to the next party to only be corrupt. We don't learn. We want to punish the ANC by giving all power to the EFF. Same problem @Thando Nkutha Yes the ones found guilty for sure. But you don't want to understand what I am saying about any ruling party @Thando Nkutha Tell me who is going to hold the next ruling party to account if they are voted in with 67% majority? They will also just do as they please and vote against any form of investigations @Thando Nkutha Don't insult me. I've not insulted you @Thando Nkutha I never once voted for the ANC @Thando Nkutha So tell us which party cares? @Thando Nkutha Is it because you don't know? @Thando Nkutha So tell us. You cannot claim to know and then not answer out of fear that you are going to be pointed out as a hypocrite @Thando Nkutha You call others stupid but you cannot grasp even what I am trying to say. Don't give ANY ruling party a majority of 67%. How do you NOT get that? Opposition parties are there to keep ANY ruling party in line - to be held accountable The EFF and ANC are the same party. @Thando Nkutha It is the truth. It @Thando Nkutha There are many more parties to choose from. Why limit only three with the most flaws? @Thando Nkutha The opposition collectively will be a certain percentage no matter the winner. That is what is important - more important than who is on top Like when there was a vote of no confidence against Zuma. He would have been long gone if the opposition was more than the ANC @Thando Nkutha We all are thinking also about our children mam @Tholithemba Ntsele EXACTLY!
Friday Ngobeni,Jail is knocking on someone door.
Shantaal Meter,stop
Thabo Malete,"the guy is supporting his statements with proof "@Andre Gerber but report that we got with regard to VBS never implicated EFF
Moses Magoba,They should publish the names like they did with VBS Zondo speaks like he doesnt want to when is Mr Watson coming? Why is Zondo wearing those glasses coz he keeps on taking them off @Thando Nkutha but look how he keeps on taking them off every time he read something Zondo secretary for the commission is also implicated wait for it check news24 they broke the story already. its coming in the afternoon. she will be mentioned The secretary for the commission is also implicated. she received money while she was working for the Department of Justice She is a basically the secretary for Zondo in this commision @Thando Nkutha they got hold of the Agrizzi testimony. wait for it. he will implicate her in the afternoon news24 check it out
Nelly Gordons,mazivele bethuna iinyani ngoku kubi
Zack blade,Viva eff viva Eff our savior… Eff Eff Eff Eff= our land is coming back this year "Eff gave us free education( fee must fall) Eff eff Eff Eff Eff Eff Eff Eff
Miranda Valashiya,the only punishment is to seize all what they possess so that they become poor like people that they took advantage of . EFFis the way.
Viktombi,R70k going to the dust bin ummmm Busasa Thats ANC
Buyiswa Mnyani,"UDM is the party to vote for vote UDM vote UDM vote UDM Malema is ready to do what the ANC even better than the ANC. it will be a great danger if we put Malema in power. hooooooooo my word i will flee to Europe should Malema ever rule. vote UDM vote UDM @Modesty Shoba lol Agrizzi is tired of living he knows after this he is going to join his ancestors but befo he goes he wants to spill the beans. @Vusumzi Ngcoza you wish @Nhlakanipho Ntombela true Where is Patricia D? Guys give sis Pat a chance vote for her party Bathabile's smalanyana skeletons are coming out of the volts now. "@Phillip Moshapo none @Zizoh asehlise umsindo mani. u-upset we get but asingathuki abantu please my beautiful countrymate ANC comrades who are involved in the corruption would were coached by whites from the DA. EFF graduated from ANC. Zuma once said investigation of corruption should go beyond 25yrs. vote UDM vote UDM vote UDM vote UDM vote UDM vote UDM vote UDM you are not voting for a race you are voting for better governance vote UDM Angelo is an agent employed eitheer by DA or EFF to destroy the ANC. geeee Angelo's video showed only 3 people and we dont know which party they vote for when they vote. they could all be damaging the ANC to advance their fav Party (DA or EFF). @Yvonne Morudu lets build schools 1st. truth is guys our boetas in the ANC would have not thought of these creative ways to loot the tax-payer's money. so if you vote DA yooooo corruption will be on a high. so vote UDM people @Yvonne Morudu give them a chance sisi 1 last time. they are cleaning their act now you will see @cl4hisown they are man. i believe @cl4hisown no you will see Zuma going to jail soon @cl4hisown watch the space. your alternative is UDM @dave east hayi njani kaloku thyini this Angelo is proving that white people are really ruling behind the scenes. all the names of these companies he is mentioning are Whites. and AND leaders wernt creative to come up with thse plans @Gottlieb mashishi yes he campaignig for the DA also showing us if we vote for DA we will be in big trouble bcoz they are running the looting systems. vote for UDM
Nkosinathi Ngubane,yes Do nt confuse allegations for conviction which member of anc is being implicated already since th oral presentation started? hw is anc involved up to sooo far?
Thulani Mthembu,EFF will win the election @buyiswa #MalemaForPresident @superni Ue which country are you from? You are not welcomed here go back to the UK
C D,"""Integrity"" what an oxymoron!" Bosasa! What a racket! This is unparalleled racketeering! Singing like a canary he is this Agrizzi
nic Chef,Vbs! Vbs Vbs
Kgosietsile Makau,#Asijiki #EFF Angelo Agrizzi For EFF!
Superni Ue,so who are the corrupt politicians and parties in SA? NZ
Eugene,hi eff zombies how you all doing @Sizwa Mongoga what is your plans with the land? You want your own peace of land to destroy? Run before they eat you what's wrong about whites running the country? If Mandela was here he would go back to his 5 star sel then live amongst you all If you block me only you won't see my comments. so do it I don't want to talk to you anyway Apartheid was better then it was now. people was getting large amounts of food for free. but our anc government doesn't feed us They will sell the land to China and then steal it back from then and then probably sell it to the Indians and then steal it back again and then sell it back to the white man again and then steal it no black people don't look forward they always look at the past can't you see that? The ANC is not wrong because there black. it is the Europeans fault it's always the white man's fault beautiful? where everything is getting burned and destroyed Depressed white people Elloise your the only one that cares. Your just a scared little white girl There is no thing like black consciousness no one died I was born supreme I was not born a racist I was created a racist thanks to the government and the eff 🖕🏻smell my whire finger his black his a bit slow. they don't know if you buy something it belongs to you
teddy buckshat,EFF All The Way..... They are all Corrupt..... Vote EFF He is a Snitch he probably made a deal before he testified..... so you saying the anc must rule forever? Then ppl will do them what they did to the whites!!! Dont go there Dankie Siya... He knows nothing will happen to him this SA... I think he has been granted amnesty thats why he is a singing like a bird He is as guilty as his friends... They think we are stupid..Ppl who stole millions for a livings would have seen this coming..this is all planned they just giving us a slice of a cake... There can never be dual ruling cause they hate the color of our skin and that will never change Moses..Im with u.. Brb..11:30 @ Ntsele....ngiyavuma..
The Edge Search,"Its sad to see how ANC is so corrupt when we don't have alternative political party with clear manifesto. EFF is Julius Malema liability
John Wilson,"even thou he is guilty in all this  @ Thando would we know all this now if it were not for him? its a step in the right direction ! atleast he has the balls to come to the commision.... i dont see the others lining up to take the seat.. "@ Thando cool man  @Thando i get a feeling this guy is ill and he knows its not going to be long for him...just a theory ... "@ Thando im sure there is a stash of cash somewhere to cover that  Lol for sure @ Thando without a doubt..
makhosi nobhatyi,"He is dishing out Malema benefited in this while he was a Youth league? Former president must know something about bosasa He is moved out at Gauteng No more defending crooks Watson maybe is Zuma’s hidden friend "Now I understand why umsholozi didn’t want this state capture they are groups Ntsele you are mumbling I love my president Ramaphosa when said we want all stolen money back to state even himself 😃😃😀 North west? Muhumapelo 😳😳😳😳 No stone must remain unturned. am happy this commission will help us to prevent corruption Now I see the reason why these entities failed every time is something like this I like this guy he is not making himself holly he agreed that he acted wrong not like Jimmy Manyi doesn’t want to be cross questioning "This guy knows his job
terranark,"DA is still the best chance of a government swing. I don't like that idea
Modesty Shoba,"@ Buyiswa I wish for that day EFF takes over. At lest you have an option for Europe
Sparkie M,This man is dangerous..
