author,message
Blake Yogi,🤸‍♂️🤸‍♂️🤸‍♂️ "True. He asks so many questions "There is no acceptable answer it aint the light bothering him. its these sins bothering him @Masego 🤣 "@Canis Exactly Chad. the commision is an inquiry. they bring facts. They will send a report + recommendations.NPA will take it from there to bring accountability. So glad someone finally understands the word "If only everyone understood this is an inquiry only "@Thabo "@Thabo "and yet she was eating and had a birthday party of over R100 000 and came back to confess @Kevin I am waiting for that day I tell you "@a b c "@Kevin "@Kevin "and yet yet smart enough to create sly corruption plans and so elegantly cover it up "@Val Corruption and Apartheid are both rotten and disgusting but they cannot be compared. They must be treated seperately "Val @Val great point True Chair he is holding back. He knows everything Stutter stutter. Confess baba
Mbuso Ndlovu,Zondo is learning a lot were Zondo will be implicated in this commission Zondo was spotted in the Gupta weeding enjoying currry😂😂😂😂😂😂😂 We are tired of this commission. When will criminal case begin??????? Taxpayers Cash @brutos17 Locking Zuma will not solve the problem. We need all the monies payed back Malema was once a Tenderprenuer before Zuma fired him Cyril must just make more copies of R200 notes then we we all be rich😂🤣😂🤣 SAA must be sold "Correct "@Himesh Mothi You won't see her behind bars 😂😂😂😂😂😂😂 Ministers are leaving slavish life styles. While some people drink water with pigs This witness has already admitted everything. Why pretorious is wastng taxpayers time and cash?????????????????????????? @Himesh Mothi Don't cry for a spilled milk @a b c Unbelievable In America being arrested is a fassion In american prison you eat a very nice food Food that you cannot afford outside American prisons are Hotels Who is the gratest musician of all time 😂😂😂😂😂😂😂 "Ladies and Gentlemen let us all agree We all hve financial problems so if the oppotunity present itself take it especially nothing major has happened to stealing criminals before But i have now learnt from their mistakes
harpreet 88,zondo in anything else
Mohamed Mia,@mbuso. You serious
Chad MacCrae,Everyday Zondo reports back to the guptas instead of Cyril...so they can plan there next move 😡😡😡😡😡😡🤬🤬 trying his best!!!! he tried his best to loot from our tax money Zuma's must be handcuffed to a super maximum prison and key thrown away the money is spread across many countries What we need to understand is what is this commission going to do with all this evidence I don't understand prisons are full with petty thieves...so the law is actually to steal big to avoid prison these are our leaders he doesn't need to hide..he is rich and he knows nothing is going to happen to him even if we vote for a honourable person..its more about who the person is going to be surrounded by...the people around them 😂😂😂😂 we said the same for previous president canis Cyril is just another face to the ANC..but the same outfit this is commission does not deal with accountability they just showing us responsibilty of all involved true which goes against every definition of what a democratic country is true..its a loophole for corruption no we don't have a black govt.we have an ANC govt..they only care to enrich themselves who are in power and gain as much as possible while they in power ANC believe they were the only ones previously disadvantaged therefore justified all the looting yet forgetting about the current disadvantaged there is no excuse because if I must go now into a shop and steal a packet of chips I'm going to be arrested..how is race going to be an excuse for breaking a law but what's the same is that nothing could be done about corruption then and now yes because his innocent untold proven guilty in COURT I think both crimes are about oppressing others val I agree or dead gavin watson the entire ANC has been infected...there is no alternative within its current structures Ramaphosa is himself a puppet to the ANC we could of maybe had arrests already
brent cramford,"🤣 at the ""event of the millenniu"""
brutos17,Lock up Zuma Now!!!!😤😤😡😡😡 @Mbuso Ndlovu every month they push back the trial!!! locking up Zuma is the first step to getting back the U$ 29 billion he stole!!!!!😡 @L Ll South African news will never tell you how much money Zuma stole!! think about govt spending for South Africa and the Guptas... its usually hidden in a Deutsche Bank account in Switzerland!!! Lock up Zuma!! 😤😤😡😡
Tlakale Motswiane,"Since his previous appearance @Chad Aimes i am with you on the looting but my point is he is nowhere near the likes of Nomvula in trying to cover his a$$
Val Speirs,I think the department's deliberately allowed the Tender validity period to expire in order to run away with the money. Zuma must be hand cuffed to the Witness chair. Foreign Bank accounts must be investigated. Then to be equal you must pay for the land because it was not free. I don't believe the apartheid regime was ever as corrupt as the ANC. Two different crimes. What the ANC has denied the poor is Crimes against Humanity. The ANC stole taxpayers money allocated to benefit the poor..that is crimes against humanity. The White Monopoly are the friends of the ANC just as corrupt I.e Watson and many others just like him. However the ANC is the monopoly. "Himesh..you can apply to a court to have your criminal record expunged after 10 years Weed is legalised now therefore any prior convictions or criminal record for possession of a small amount of weed for ones own use..should be expunged. They were all aboard the gravy train.
L Ll,No criminal case is going to follow. They will recommend tighter checks and balances. Just improve the tender system. Forget about anyone being charged with a crime 😩 Nah Zuma doesn’t have that kind of money unless you can prove it beyond any reasonable doubt lol Corrupt officials spend the loot quickly And it’s usually CASH transactions The money is being used for covid relief in America 😡😩😳 Brutos yes you are right about that Nothing lol Swiss banks are actually using the money to improve their economy while SA people are suffering
Christian Mngadi,nkosiyami lobaba kodwa akazizwa nokuthi uthin uyahema nje
