author,message
Linda Pretorius,yip the fall guy who became a an ambassador for taking fall we will have to see Why Abel... Having watched this a lot i think the Adv are selected with how difficult it would be to handle witness. Do we not want to save him for the 15th.... yip he ran the Waterfall air base when event happened
Anti Suz,"Waterfkloof landing
Mulunghisi Mulunghisi,who is next who is this 1 also justice department was captured please some1 summarise last 2min please yin yang 16 july what is wrong now @thando report of what now from pp that woman is a puppet of Bra Ace and boti msholozi Gupta wedding was a national calendar
Maxwell Sibiya,Where is Adv. Maleka? I haven't seen him in a long time
Yonam Daudi,I miss advocate Maleka tooooo brought him back sabc please we don't want system glitches from the 15 upward sabc at it again
Jaytee Morifi,what happened to him
phelelani mbele,i think after giving zwanele manyi hard time it must be chair gave him long time off i miss him big time i think is the SABC problem u see it is SABC problem we didn't even the name of the woman then bring them into the book so that they can clear themselves plz stop rounding the bush if the number one didn't do it the minister didn't do it so who's to look at he is trying to hide something he can't be the mejar and he can not speak English
Ashne Hesselberg,I’m also missing Adv Maleka. Haven’t seen him for ages and I’m praying that he hasn’t left the team 😭
Petro Forsyth,Preparing fot the big fishes.... Precisely!
clive oconnell,"Come on you had half a day off yesterday If she was a teacher she would have July off I believe children should be able to read and understand in any language Zuma only ever counted how many 000000000 going to No1 English - Gave or Sold ? You don’t become a Freedom Fighter without the hope it makes you very rich @Pastor JJ Individuals corrupt are counted in 100s. In fact it seems ever anc municipality leader are not counted as individuals on committee Zuma cracked the whips and spread the 💰💰💸 Can we have 13 different languages as sub titles 😎 @lbo Tambo I noticed Truth is not in your thinking 💭 "@Tando Nkutha Like yr school report #1 is heresy ATTENTION HERE COME DE JUDGE How high is the commission paper trail now 📒📒📒 GO Girl 🛬 Hope it’s not sign language 😎 Is Diplomatic language now Zulu for ZA Desk Jockey
Mbongeni Mapipa,all those who are not paying their TV licenses are the cause of this delay 🤣🤣🤣 don't these take a listen to the audio they are transmitting 🤔
Siyamcela Nxathi,Is the Judge late Shame this witness is not feeling well Keith you could more sympathetic bra "tea break in hour of working ha a chair  Two whole minutes late
Peet Venter,The chairman is going to ask most of the questions Thank you SABC Digital for failing us once again. Proof of why you're going down. You might as well wipe your nose with that report! I'm surprised that the chair does not place more pressure on her evidence You're wasting your breath Interesting to hear the similarities between isiZulu and my birthland language isiXhosa. Chair will correct the interpretor if need be Zuma is also going to testify in isiZulu @Sipho Hlophe is it perhaps not a case of dialect? Lunch please! I'm hungry!!! Thanks chair. It is KFC for me now
Thembisa Odendaal,@L.P. then they should have selected someone else for Ben Martin's to wipe the smug arrogance but clearly something did not add up @Mhulungisi I like the way you say this 1 it was a polite way to say check yourself He was very happy to steal in English just saying yhoo usile lobhuti
SupraTentoriaL,are they late in starting or is this sabc glitch?
funicanz,Morning Who is this witness? "@Sindiswa Moolman "@Makhosi Nobhatyi "@Sindiswa and @Thando "@Ibo Thabo Where is Adv. Pretorious? "I know These advocates seems not prepared. "I can't stand translation in church How many pages is this affidavit? Yes judge.
sam Mokobane,This SABC is useless.
Robert Russell,@SABC Digital News ..... because you cocked up the start can you please give us the info on this witness Thief #1 @Mulunghisi Mulunghisi ...... A waste of tax payers money She is protecting ACE @Magda Seguin Ace does Zumas bidding from Lootfreely House Any one who is professional would never do things based on hearsay with out first checking with the names of those mentioned In most Countries around the world refer to their leaders as #1..... going to be difficult for Zuma to defend that I wonder if she volunteered or was summonsed @x. .x reopen Robyn Island and we can all go and visit these crooks as tourists @Dominic Przybylski .... to block spammers is the easiest thing fro Youtube to do..... block the IP address of those reported Then take him to court..... like FRazer Alexander has done and see where that takes you Madam....you definitely not fucken Sherlock Holmes Yes by Jacques Pauw...... But you have to submit in Zulu His English sounds perfect FFS the translator can't even say it in English Or s Major TOKEN @Derek Main @Clive White how do you get to 8..... I get 5???? And he also does numbers in English.....way better than Zuma 😃
dumisani zwane,where is the volume Mabhena
wendy hardy,Anyone know who this witness is?
Owen Nyilika,IS MISS NONKULULEKO MABENA FORMER DG OF JUSTICE DEP NONKULULEKO SINDANI FOR DG OF JUSTICE DEP ALL THIS PEOPLE THEY DESTROY THERE CAREERS IN SOUTH AFRICA
makhosi nobhatyi,Anyone can give madam witness corenza c Khomba khomba yedepartment zika Rhulumente 🙆🏻‍♀️🙆🏻‍♀️ "@nelson musoliwa yes Zuma know about that Number always on the run Ministers were defending the president not telling us the truth Ben Martin lied to us @Jabu malinga Zuma and his son have billions at Dubai kept by Guptas they even move their money to iran @Funicanz I was expecting concrete evidence to him when he says Atul those visitors are friends of Zuma but decided to hide information so he clean himself to be Guptas puppets Zuma will twitted today after this witness finish try to confuse people They all running their responsibility Zuma knows well he used his dogs Two witnesses at the same time Mhmmm interpreter This witness is prepared to lies again "Delay tactics DCJ ngenelela ngoku tolika ngathi isasaza ibhola 😃😃😂😂 Izoxoka le chap 🙆🏻‍♀️🙆🏻‍♀️ Wait translates until he finished sentence? "@Magda Seguin no it not
