author,message
S Nompozolo,#ArrestMampintsha
Slindile Ngcobo,sound n vid out of sync
welton paulse,Mara why is this guy speaking in such a soft tone????? "@Thando Nkutha "Is this guy also from Eskom "@Anne M. "Did this guy maybe take medicine which makes him sleepy and tired His game plan is to talk in this tone to put Zondo to sleep Or he wants the commission to have pity on him "NO NO NO @Anne M. i am wondering how many of these crooks at ESKOM got employed via the legitimate way of employment @Buyiswa Mnyani Almost like something out a mafia film "Have you guys ever seen kids playing? like business business "This is a matter of A blaming b "@Anne M. "Before people appear here Where is Adv Maleka? I can see this guy likes whiskey too much
Anne M.,"@Thando Nkutha Yes "@welton paulse Yes @welton paulse 😀 Probably didn't sleep well last night knowing he would be appearing at this inquiry "@welton paulse His job might be on the line "@Thando Nkutha Then he wasn't doing the job he's paid to do "@Thando Nkutha Yup @Thando Nkutha The correct thing would be for him to be suspended @Paul Mufhadi Agree. It was a deliberate decision. My question is - who tipped off Huorong (spelling) to approach Eskom? @welton paulse Fortunately the commission has some serious legal and financial minds to sift through all the evidence
Willem van den Berg,lol Welton
Chris Bard,A blames B blames C blames D blames E blames F blames G blames H blames I blames Jan van Riebeeck Thisman is innocent
Thamsanqa Zulu,"when the say external entities This man is still dealing with projects... 🤔 What's this guy's name?
Paul Mufhadi,this cannot be error of judgement this is intentional and he knows why I feel Zuma' s tentacles here.
Suban Govender,is this a series the SABC is broadcasting due to lack of cotent?
Buyiswa Mnyani,"these people's children now I know that their fathers are crooks
Chiang Mai Springbok,Replacing the Bold and Beautiful
Mohamed Muse Qorgab,ok what is this?
James Godloza Godloza,well said Welton who is the mlungu asking bantu and mlungu race card? Welton I don't think that this guy's know how serious this commission is si simply who is on stand sorry for any offense not intended surely he pocketed millions for his silence windows of opportunity to steal did you hear that guys true that Moira has the Mokgoro commission concluded? I miss the face of Adv Jiba 👍 👍 nope only when Adv Bawa tough questions sorry Adv Bawa ask tough questions his honorable as he says they were dealing with honesty love listening to this guy continues to implicate himself Fils I love you 2 lol
Fils de l'homme,Hello to all my bantu hello to all the caucasians Hello to all my hottentots and coolies hello to all South Africans and Azanians @Felix Muyoba mornng to you who is the Bantu on the stand to day? @James Godloza Godloza please dont play the race card Let US VOTE for the FREEDOM of the TRANSVAAL VOTE for the FREEDOM of the TRANSVAAL @André du Plessis VOTE for the FREEDOM of the TRANSVAAL "@James Godloza Godloza u love listening to me @James Godloza Godloza 😃 @andre "@André du Plessis dont spoil ur VOTE @Frik Brits i speak for u as well @André du Plessis we built this country
Felix Muyoba,@Fils de l'homme why the classification?
M T,"#James - why the Race Card? Really - It has no bearing ✌🏻 If only they could have put as much effort and forethought into Building SA - as they did in the Destruction - due to plain bloody greed and self enrichment! WoW - we’d be a Booming Continent 😡😢 From grassroots to SOE’s! 🤮😈
Vish Govender,He is a chartered accountant. He has failed legally to report a crime committed in terms of the rules.
ray4x4auto Raymond,。。 。
Michael Michael,dont know James do u like her face. point taken
Derek Main,@James Godloza Godloza The oral testimony has been completed. The judges are now deliberating and preparing their report.
BEE-llionaire Okwacha,@James Godloza Godloza she got great lips LOL
Magda Seguin,"This guy's testimony is of someone sitting on the fence but is implicating himself in the process He is clearly in the Anoj Singh camp
André du Plessis,I agree Magda @fils I am vote spoiler Incas polite once 're my vote @fils don't try again "this guys name is ""patsy"" aka fall-guy" not on rock and roll
Frik Brits,"Ag nee "Thank u #Fils de l'homme 
