author,message
Norman Zwane,Spoken well per this intepreter our languages are just beautiful. I'm enjoying the seTswana guy. "@Sinethemba Sakuba The language of office work is usually easy to deal with over time but for most people court language remains foreign. Unless you are exceptionally fluent "@Sinethemba Sakuba If you understand English @Aniceth De Missamou Home language is a right we all have to truly express ourselves. I may work in English but court is not work @Aniceth De Missamou The constitutional recognition of our home languages was to ensure that the principle of equality before the law is not slanted to favour the dominant. Just accept it. @Deon February I think we dealing with folks who have no idea how frustrating it is to be misunderstood. You get spoken to in a language that is secondary to your instinct to protect yourself. "@Ibo Thabo @I Am Free is a troll don't go down that line The big players in the ANC used these small guys and then let them hang out to dry. "@Molly Dhlamini @Yose Human @I Am Free are trolls @Tikvah Olam Its not a crime to ask for translation. It is equally not a crime to understand English as well. None is exclusive. I know a lot of people who can conduct a conversation better in both Most folk do not know what WHITE PRIVILEGE IS: White privilege is expecting that all people should converse only in your language and to then suspect use of another language as being evasive. @Sofia Sofia You did not. He said he prefers to respond in his home language - any problem there? He never said he does not understand English. He made a constitution allowed choice. "@clive oconnell Geez!! Are you an expert at stating the obvious or you just being thick? Where else in the world big as it is @Sofia Sofia If you are referring to the man on the stand then I think you are off your rocker to be making a judgement of corruption of this man. WHITE PRIVILEGE raises suspicion of Tswana speakers. @Thando Nkutha Well done Thando. I wish I did too. Shamefully I was one of those stupid ones who looked down Tsonga and Venda - for no reason except I was just too proud to learn. "@Thando Nkutha Right now ""nditota ku amba tshiVenda""I know I've bastardised the writing as well." @Thando Nkutha I was once at Turf and had a moVhenda girlfriend but stupid me never took advantage and learnt. Pathetic really. Not proud of that little bit of my past. "@Thando Nkutha You have quite a spread of South African routes @Thando Nkutha Wow! @Thando Nkutha In my lineage I find there was great frowning for marrying outside tribal lines hence my limited natural spread of relations in other tribal languages. @Phumla Setlhoke Now that is funny LOL "@Thando Nkutha At least you did not grow up in townships with Zulu section "@Thando Nkutha Yes "@Thando Nkutha I always have to stop myself when we argue with my kids "@Dominic Przybylski Makes sense "@Derek Main True dat. Some numb-bnuts think it devious "@Jean-Pierre Le Roux I'm arguing about language "@Dominic Przybylski Inheritence is a natural phenomenon so I'd be reluctant to go there at all.I think our problem precedes the inheritence @Dominic Przybylski You directing that questions about Zulus to me Dominic? @Dominic Przybylski I'd rather not as this does not follow from our earlier engagement. I'll give you space to speak to yourself. Soon you should be hearing yourself I think. @Luvuyo Zantsi I sure enjoy reading Ledwaba's decisions. I dont always agree with his reasoning but I just enjoy his legal logic. I find it fascinating- my apologies to those he finds against. @Thando Nkutha @Luvuyo Zantsi Is this not the kind of judgement Malema hoped Ngcukaitobi would get in order to take it to the CONCOURT? I know he ranted in Pressa but I thought that is what he said @Thando Nkutha He is still my fav judgement writer. One man's meat mta ka Nkutha kwasho amaNgisi @Nathaniel Perumal Hey Nathaniel is Trump going to be parading his weaponry as he threatened he might - just so we know what weaponry he has?? @Thando Nkutha I had my final teaspoons of love for Julius spilled yesterday. I thought the PRESSA was not necessary and I think he came across as a bully. So from now I'm in the other camp "@Thando Nkutha When you said Julius I was still talking about Justice Ledwaba "@Thando Nkutha In my limited history of the ANC @Thando Nkutha So much blood has been shed because peeps could not hear each other. @Thando Nkutha I go with that @Robert Russell I vote you to chair this commission. we would have a one line finding:ALL GOVERNMENT EMPLOYEES MUST SPEAK ENGLISH. @Robert Russell Talking of commission @Dominic Przybylski Why do you say that? @Dominic Przybylski That defines the prty or the leaders tendencies or there is no difference between the two for you? "t@Millicent Shozi I you see Adv. September
R hunter,🤐😴💩
Zizamele Zukulu,mna xa sekubizwe mna ndifuna umntu translate ngesi mpondo ulwimi lwam endiluxelayo
Aniceth De Missamou,The guy is responding in English. It's a ploy for avoid stating much. They are soldiers and work for the Gov not in a Base so how do they run the Gov business with foreigners dignitaries? "So he can read email and respond to them with foreigners dignitaries but can't express himself in English at an enquiry? These soldiers "These are soldiers and everything to them is ""War"" and all tactics are permissible to win" @makhosi nobhatyi you're right. The you needs to invade the ANC so they can take over. Was there a translator while he was assisting the Indians? "The guy just spoke English as the translator is slow. I
lucas chokoe,I wish all tertiary education institutions can ask us prefered language to write exams Chinese ...and Rassians.....when they adress media they will use their language
Lorna Kavanagh,why is he using an interpreter? isn't he an official? shem ... this is painful
sam Mokobane,"Zuma games
Skipper Motabogi,Setswana translator on point👊👊👊
Eleanor Diplock,This is going to be a looooooong day!! This guy works in government dept but cannot speak English!?!? Eish!!!
Moshoeu Mabusela,Do they involve interpreter services in their meetings also? "@Yose Human. your love or hatred for zulus is noted. say something different
Molly Dhlamini,"Translation helps as English is not our first language and we first think in our african languages before we can answer in English "All courts use translation if needed Ask any white person in South "There is something called multilingualism  "The ANC is for all language speakers  Derek Main that is not true Derek Main do you understand the definition of a thief? "Derek Main  "Derek Main Spot on Ibo Thabo- our people need to emancipate themselves in their minds- it’s urgent and crucial Just study that and then we can talk- use class analysis as you do it "Ibo Thabo "Tony stone it’s called multilingualism- it does not mean he has authority over the Queen’s Language. In the townships people used to mix Afrikaans and African indigenous languages when they speak "Keith "Keith
Phumla Setlhoke,Lamatoliki are doing it purposely.This is the introduction preparing for Mr Zuma not to look foolish during his turn "DP is very smart these people they don't know who they dealing with. DP got what he wanted for now It looks better today the interpreter knows the difference between Note Verbale and Non verbal "Malema
Jabulile Mazwane,thanks Molly
