author,message
Pitso Mosetlhe,former Free State Economic Development MEC Mxolisi Dukwana.
Ntando Brandon,Who is on the stand today ?
Byron Sferopoulos,Doom and gloom!
Paul-J,Not Watson
Mongezi Mati,Mxolisi Dukwana
Dan Zuzu,Watson? OR Tambo international airport 😆 Clientielle lawyers!!
SNENHLANHLA VILAKAZI,are we live? or my network is doing things? old thugs we didn't even see blood at the scene
Kabelo Katjedi,lets adjourn the sitting to respect Watson "They claim that his car went for a service This morning they allegedly made a statement saying they request investigation 2 be made by their private investigator not police "Mandla AGRZZI yesterday also said Watson ws planning to leave this country "Thats why i ws saying this Commission is a joke Did he respect us while capturing our state Thami exactly "They shouldn't tell us about nt showing his body 2 respect the family "They will leave this country 1 by 1
Niek Cape Town,ADJOURN FOR A MEGA THIEF??????
makhosi nobhatyi,Confidence is high Shama the Guptas man Does Duduzane Zuma is a businessman if so what kind of his businesses if exists? Does still operating? Mr mxolisi Dukwana will spoil beans Correspondence first @ Abe Molefe This advocates is delaying proceedings now Emails Your must come later to respond after this evidence "@ Thando Nkutha there is more evidence which implicate Helens clients "What is wrong here Mr Dukwana is ready spill the beans
Refilwe Harvey,Yesss nice volume thanks SABC 👌
Jabu Nhlanhla,mrng all yes koos mr x who's 10 ania
Ndou Fhati,evidence continue
Zama Kubheka,did Watson really die? @carnoth ngomane I thought i was the only one Even when they showed his brother on the news...he was all smiles @Michael Michael i doubt that. im sure he got sum1 to take a fall "@Abe Molefe with money buy Z@Sindiswa Moolman lol True lol Zuma games @Bronx Wavy me too @Salmaan Abrahams iagree lol HELEN IS A BULLY Skhakhane has opened a gate for all lawyers to do as they please.
nomawethu yozi,"Yes
Llane Nkoana,Just joined
carnoth ngomane,@Zama Kubheka something is fishy about the whole death @Zama Kubheka you not @Thulani Bukani and enough money to fake his death @Thulani Bukani another brett kable is at play here "@Robert Russell a business man travelling without his cell phone "@Pastor J thats another angel to look at it @Ibo Thabo remember he has to be fair and impartial "@Ibo Thabo yes it looks that way
