author,message
Bonginkosi Sikhakhane,Loadshedding makes us to miss important witnesses
makhosi nobhatyi,Zuma puppet general Mabula "As we see him
Louise Roderick,Is the sound very soft or am I really going deaf?
Kim Denmark,Somebody is STALLING
Kagiso Kanyane,"Hi chair
AKBERALLY OMAR,Louise Roderick. I am also finding the sound to be soft
jwarha21,corrupt cop this 1
Tseliso Ntsepe,Already nervous tell and piet I agree with in terms of the money spend on this commissions but I think the information gathered can used by party taking from anc against this perpetrators because it will be archived """ taking over"""
amelia sekhonyana,hehehe correct
Wildthing,They handed out stars and pips like they come from then lucky packet.
Joshua Borias,""" @ KAGISO KANYANE-' UR LOVELY FIANCEE KOKETSO IS ALL YOURS """ CRIME INTELLIGENCE WITHOUT INTELLIGENCE"""
Derek Govender,@wild hence the country is rotten to the core
MAHLATSI JUSTICE Mushwana,:oops:! b
Teunis van Ree,This is going nowhere
Russell Florence,:dothefive::dothefive:
Nico Majiet,"Reporting verbally They said the best way of defence is to say :ek het nie geweet nie: Its not me it is someone else but cant remember ...who it was "Now he remembers very well 
nur jannah09,👌
Thabo Mokoaleli,"Major General Ntebo ""Jan"" Mabula was previously Head of the Hawks in NW and very close to former Head of CI
Tello Moruti,piet botha i. agree with u broer
ŲÑĐÊŘĞŲÑĐ BØÝŞ,"Ахахаах
Cedric John,The biggest threat to our democracy is not the corruption itself but us getting used to it. Uncovered corruption with no conviction is the highest level of corruption
Ismail Petersen,"Yeah this is a waste of tax-payers money "They are trapped in their lies & dont realise theyre lying. Disgusting hulley is very articulate - is he is trapping him now further to lie.
Priscilla Stellah,Mr Harley 🤔🤔🤔 🤣🤣🤣🤣
Linda Zulu,😂😂😂😂😂 "and thief will be gone 🤣🤣🤣🤣 what u remember?
margaret przywara,🤣🤣🤣 definitely the thieves will be gone 💯
Roberto Ndlovu,Piet Botha the page is missing
kevindbn007,kaaaaan rememba yoh
Modiri Maile,mr Mabula need some water
Denzel Override,Pathetic Even he doesn’t believe what he is saying What😂😂😂
Phillip Cwazibe,Where is the report? Now we found the report. "@ ""If my memory serves me well"":oops:"
Kevin Simon,"Notice how comfortable he was with oral reports never having reduced anything to writing. Now that something has been written down Somewhat screwed I'd say!
Philani Njapha,Adv. Hulley is very meticulous.
Khutso Malumane,qoute from what checking my mind se voet no brain cell vokol
Zwelithini Shabangu,😂😂
eramus sithunywa Ngema,"can""t all the way" Mr Macbright will rip them apart 🤣
Elton Josea,brain freeze when people zol how is the evidence relevant to the work of the commission fingering mcbride asb @Sam Monkoe from Tuks? @Sam Monkoe awe bru Taaibos we did engineering together cool bru true that i send u the request
John Wilkinson,"""but me I can't remember""" 🤣🤣🙈
sipho percival,liar liar pants on fire 🔥 why are quoting something that doesn't exist Mabula?
Mfana Maluleka wa ka Nkuna,:takeout::takeout:
HALO,"The way they carry themselves
Ntokozo Ngcobo,"@Erasmus
Phil Rambau,this guy he is lieng am soryy to say that but is true .look at him he's scared like little girl he is hiding something no yes never doesn't come to gether 🙆‍♀️🙆‍♀️. Phillip 🙆‍♀️🙆‍♀️🙆‍♀️🙆‍♀️report is found my friend 😂 zondo must drink water . yoh yoh mama yoooo shumaela mufundisi zondo is happy wasting more time 🙆‍♀️ joubert is here tomuch energy.
Rre Wa Mokone,"@ck jr​ instead of "" :ek het nie geweet nie:"" He can copy what the great Spiritualist "Rre Wa Mokone​@ck jr​ instead of "" :ek het nie geweet nie:"" He can copy what the great Spiritualist
Paul Buchel,@Rre Wa Mokone😅😅😅
Ronnie Penxe,"where is Adv Maleka guys
MUSA HLUNGWANI,I’ve asked severally about Adv Maleka and Mokoena as well. They are dearly missed! Maybe they’re part of the investigation team
Mike Newlands,Just tuned in and look like he’s lying already another example of why our police are useless @ Phillip C 😃 “if my memory is a real giveaway to a liar @T1 T1 only satisfaction is knowing these liars & thieves never dreamt they would be exposed in public & hav to justify there incompetent & conniving support 4 corrupt ANC - expensive satisfaction 🧐
mathys botha,this old man is busy undermining his own team
Isaac Makhado,Zondo is interfering a lot i dont know if its what i think it is irrelevant
wray Evert,you may be right in your thinking
Godfrey Mama,judge is on Hulley's case
Angelo Doubel,the judge must w until 7pm "he is always a"" team leader """
Mike Batho,Zone of is interfering...let the guy get on with it. wasting time..jassus (in Clement Manjentela voice hahaha I mean Zondo is interfering
T1 T1,"This commission is a sheer waste of time and money "They have no point to arrive at "At any given time 
Mohamed Mia,Yoh long time ago
Peter Lukas,he talk and explain for more then 10 min
