author,message
Auti Mjita,@Aijaman Pirlo Are you stupid or just trying hard to sound stupid? "@Mpho Mashigo And who would have paid your social grant? the country would have been broke @Aijaman Pirlo The fact that you don't recognize continuity in policy and governance disqualifies you from commenting on ish you are clearly ignorant about "@Aijaman Pirlo Ask your Zuma why PetroSA sold our strategic fuel reserves "@Aijaman Pirlo FACT is you are ignorant about fuel prices nywe nywe fuel prices where lower under Zuma but you forget that they were even lower under Mohlanthe and Mbeki @Aijaman PirloIt is sad to see an old man without an ounce of brains but let me clarify "1. No president sets fuel prices "2. Check where the ZAR was irt the dollar during Zuma years "3. what made things worse now is that the orange man in the states has decided to cut off IRAN @Aijaman Pirlo Are we still talking about your hero zuma or have you moved on to 2019? "@Aijaman Pirlo Black people do fly "@Aijaman Pirlo It seems you have a lot of issues to raise "@King Vuka He is a sleepyist bra "@Aijaman Pirlo Tell that to your Zuma who was in power for over 9 years "@Aijaman Pirlo FYI "@Bongile Sibali We are trying to educate those that receive free Zupta data so they can go around sanging Zuma praises "@Aijaman Pirlo Your BFF did not act of the report "@Aijaman Pirlo Not payments bra "Plus his government promised the Marikana widows cash "This is when education matters "@Aijaman Pirlo You are asking all the correct questions but to the wrong people "anyway "@Aijaman Pirlo I don't think im smart bra "@Aijaman Pirlo now we are on Mbeki and 2010 "@Aijaman Pirlo AGAIN @Aijaman Pirlo THE ONLY ONE CONFUSED HERE IS YOU BROTHER has he blocked me yet? hahahahahahahaha "@Thiza William He is behaving like a toddler now "@Tina Joumase Petterson sold our strategic fuel reserves The ANC in the thick of things again! "Mantashe was SG @Xhanti Silvester He might get a 6pack at the end of this commission @Keryn He managed to fool us all ZONDO IS WAITING FOR ZUMA YOH "@Keryn Nywe Nywe im a victim "@Keryn It's not up to him to decide
Mbudzeni Mphaphuli,"We owe Nene a great deal for not signing the Nuclear deal
Thiza William,if we go back preZuma era till when its the cut time of investigation? There's no fiends but intetests if you think China is our saviour unless you don't understand international relations or outright gullible "surely before Zuma the bread was cheaper Some need to understand economics its so sad to witness such ignorance litre of petrol in 1994 was three rand Something doesn't add up with reasoning capacity of Zuma supporters Once beaten twice shy. Sua forces must be fought in all platforms of our open society and exposed for how destructive they're Bringing the past shows a poverty of discussion. Engage on the current narrative being presented than diversionary tactic Anyway Mbeki and De Klerk are not on trial in the court of public opinion political tantrums won't help Zuma evade prison Zuma appears next month to greet the judge in court again but this time around to plead either guilty or not His been requesting his machine gun for the last 10 years and he will soon get it in a form of orange jumpsuit The list of criminal syndicate is growing No stone must be left standing to haunt all Zuma supporters
Crispian Gallon,We definitely need to thank Nene. Otherwise we would have been downgraded even further. And the next generation would have to pay as well @Pirlo even if we dont use SAA we the taxpayers paid for it. @Pirlo. in simple terms buy now pay later
Thokozani Malgas,"That's my wife you guys talking about
Nhlamulo Ngonyama,sabc 404 needs audio please. audio on Sabc 404 is still not coming through and data is still expensive. production team please help
Dimakatso Nwandula,"@Aijiman Pirlo the intellectual incapacity of your statements shock
nhlayisi owen magayisa,i wonder if we still have people who are ground standing the corruption of zuma's administration.. HE WAS LAYING
APROLLO_,came here from enca stream which is broken
Xhanti Silvester,I came to sabc streaming to ask for the lady sitting next to the advocates 10 digits at enca they dont have @mluleki mnguni dont interfere with my hustling please DUDU MYENI ZUMA SAY IT IN ZULU PLZ NENE Zuma takes 2 minutes to fire a traitor LOOOOL NXAMALALA speaks zulu when he's telling you bad news mantashe's high blood goes up the moment he hears his name
Sindiswa Moolman,We are all here from eNCA He is earning his normal salary. This is not extra for him. I wonder who will be brave enough to submit that request @Mluleki Mnguni. I know Zuma wont because he knows he is guilty. Dudu refused to account to the Parly Eskom inquiry ...and then go and meet Zuma in a hotel @thando cezula "Dudu Is he still your President @peter pott ? Agreed @Thiza William . Now we have added Joemat-Petterson and Mahlobo to the list of known suspects We are talking about Zuma here @thando cezula Why would she ask the Fin Minister to sign a blank cheque based on one pager document that commits the country to a half trillion debt? Tyhini...@Phahamang Thakudi There is also Zuma side @Dumisane Ndlela
Mluleki Mnguni,@Xhanti Silvester i Came before you😂😂 surely an application for a leave to cross examine will be made. ngaythanda le nsizwa yomqhele(Ungiyane) @abraham rambuda Gupta lawyers and everyone implicated today. like they did previously "@Sindiswa Moolman probably they""ll play the 'innocent game' only to the media but not at the commission" @thando cezula the commission has the power to subpoena anyone they want to. An order of court cannot be disregarded @abraham rambuda im afraid those days are over. Her boyfriend is no longer running the show @Gcwanini Yaso very sad😥😥 @Zwelethu Ayanda Sodwele you hurting us😂😂 "@sizwe gwala leading evidence i wish that Adv W. Trangove SC can cross examine them """top 6"" meetings.. hehe Cryril was the Dp at that time" @abraham rambuda you out of order Hon. Member😂😂😂 @Keryn that person (Mantashe) is not capable of speaking for more that 5 minutes😂😂 "@Keryn after 1 minute of speaking @Thamsanqa Nomayela because they failed to remove him
Zwelethu Ayanda Sodwele,I too am here now "And that Chick @Aijaman...Can we just catch the fish we can for now He is a Justice.....He set for life. Google how they are paid and what happens when they retire... Im sure some politicians are crossing fingers that their names aren't dropped No time pieces in prison though...lol Did u see that flame??? "@Mluleki...all those who have been named have been given untill end of 2018 business to make submissions "@Sindiswa @Keryn...of course. He later told Nene 'Awu Bengidlala'...lool lol...Google it '@Ntsikelelo...072 073 08300 "@Ntsikelelo..If you want her @Peter...She only drinks tea...Green to be precise Uthini Wongas??...Moja bra Im sure the Top Six from then are burning those minutes as we speak...lol and the Fire Pool will be the icing "You guys must remember that DJ Zondo must tread light on some issues regarding Nene
Lungisani Ntshonga,@nobhatyi injalo sbari
Frank M,how much will Mr Zondo be paid for this Inquiry. please help!! how much will Mr Zondo be paid for this Inquiry. Thank you @Sindiswa Moolman If gupta was a name of a car It would've burnt while driving.
Rose Gadibolae,ijooy zupta
makhosi nobhatyi,@Lungisani Ntshonga Zuma is dividing the party working with Ace and mahumapilo am worried Zuma uses white as they are capturing treasure where he wants to push them away and capture state by himself Dudu myeni that snake bites treasure "We must pull his clothes left him naked "Mantashe is going leave Zuma alone dancing in his pool coz shame he defend him hope things will change but was getting out of hand
The Consigliere,Zinglish New word
Mkitlane Simon,Zulu and English
Millicent Shozi,DUDU MYENI ZUMA
peter pott,"when people are in trouble You suspect??? Fin minister working on suspicion. really? hamba khahle mkhonto😀😀😀😀 "suspect "I love pres zuma. he addressed all this ministers in zulu. 😀maseko say it in zulu stupid fool "moolman "next time minister. sms others I am here at commission boys! I guess you loose. I am inviting her for coffee sodwele! thanks. You cheque is in the post ☺look how uncomfortable he now looks go now nene. go sort out our petrol price. You are hurting us here. I can't even take out this beautiful lady in the front row. thakudi! why☺☺☺☺ "yes judge "in actual fact Nene responded stupidly. anc is his organization check dates when was parly response Mr judge "judge zondo momo is here too from treasury
briannxx,Socialism will bankrupt South Africa just like every other Country! Morons The government is the corrupting influence in every country! Shrink the size of the state
Ayanda Kleyi,who is this yummy mama on my screen Khawuyeke @thando cezula myekele mna Irritated or irritating @thando cezula @thando cezula ndimbuze kuqala
Lezil Lezil,wow! they actually putting in a full day's work at commission Im with u on that Brianxx our government is too big too many useless departments we can't afford. paves way for all this corruption Zondo not going home early he's gonna keep them till 4pm🤣
thando cezula,Yho ngubani lo sisi on the bottom right of the screen? Ranjeni Munusamy is so irritating Hayi Ayanda ntange uqale wabonwa ndim! Dudu Myeni will call in sick again when asked to appear before the commission "I understand she can be summoned. I'm just saying when asked That's why you love him? Hayi you are weak! Yho losisi! How did Zuma promise something he has no jurisdiction over? #BRICSBank
Khabuza Seargent,ooh yahh i c
Thabang Ketshabile,That time piece though Lol
Gcwanini Yaso,We are being led here....... "Funny part is "this commission is another wasteful expenditure...we all know Zuma messed up
K,So Zuma was lying about deploying Nene to the BRICS Bank 🙃 Okay 😂 The Whole ANC is going to come and testify @abraham 😂😂 "I really thought Mantashe was not corrupt @Sibulele Sojola @Auti Mjita I know right @Mluleki Mnguni you out of order chief 😂 "Zuma is going to go to the court and delay his testimony @Mluleki 😂😂😂😂 @Auti Mjita but he says there’s no such thing as state capture 😂
The Xilaman,LOL 2019
Ntsikelelo Yalezo,Can DG get me the digits of the lady next to Adv pretorious
Phahamang Thakudi,Ntsikelelo Yalezo people shall share mfo 1994 resolution Hai Zwelethu Ayanda Sodwele akudlalwa kanje Tshini @Sindiswa Moolman i know @peter pott dont dare lol
Mzuyanda Christian,Ntsikelelo Yalezo
sizwe gwala,"Someone balance me It looks staged we Mnguni.
Lindikaya Myeki,im afraid of Gupta tentacles
Xolani Sabela,its bad
Mac Mandla,and people are not allowed to cross examine these guys there is a pattern here of lies nje this guy sms the wife didn't not even call yherre
Stephanie Brown,Probably
LMB DEBT Cc OFFICE,"waste of money and time
Strini Naidu,wat ever was said will be investigated if names were mentioned will be call to appear the evidents will be tested zuma lied
Sibulele Sojola,@Keryn you not alone😁😁
Phillipos Ndovhe,We are done with this ANC true Ndiafhi
Dumisane Ndlela,"Before we conclude "If he is being implicated like this Sindiswa Moolman
ndiafhi ishmael,NEXT year let's show ANC flames "ANC was protecting Zuma
Thamsanqa Nomayela,Why reducing ANC to Zuma shenanigans @ndiafhi ishmael
QHAWE MFEKA,indeed flames will be shown in 2019😊
