author,message
Sthakathi Khumalo,Safa isilungu under the nostrils - uyasinyisa uZondo namuhla..!!
Person of interest,Sound? adjourned till Fri
Pastor J.J,Sound is perfect. We cant blame SABC today Sound gone bad now @SABC Digital News
scicoom gog,sound is very low
Market Signal,ǀHawe ǁae-e ta ge mû tsi tama hâ
Zandile Ntanda,Hello hi... what's happening??
