author,message
Nelson Musoliwa,Justice must take its course for Fairness to all Justice account to law not to individuals or political parties so justice must prevail in this particular instance. So whether Pravin is cross examined or not it must be by the law nothing more nothing less A knowledgeable law practitioner would know how broad the defectives are in an application for leave to cross examined a witness to avoid clutching on a straw. CIS and IPID were ate each other's throat instead of providing services to the nation which is tantamount to treason. @Elson i concur with u this testimonies is highly complicated @Norman you can say that again this is one of the major causes that collapsed the state The rot in state was too deep as Robert is explaining here
Pheladi Lamola,I'm not sure about fighting for Malema but I want Pravin to be cross-examined. He can't just give his version and go on his merry way. The Commission must be seen to be fair to everyone. @Tarisai Kadungure Agreed.
Magda Seguin,Last night was really devastating with the Notre Dame fire "But friends Moyane destroyed SARS..the Nugent Commission was clear "The do called 'rogue unit' never existed.The EFF is fuelling this against Gordhan Moyane fought time and again to stay relevant...he is heavily implicated in state capture "No He even sent his lawyers to testify for him at the Nugent commission Dali Mpofu came across very unprofessional at the Commission here..revisit it on YouTube. Today a SARS employee is facing disciplinary who gave the Guptas R460m VAT return ordered by Moyane..she will probably lose her job too.The payments were made via third parties What lies? "The EFF will use Judge Zondo's brother excuse if it is denied @Funicanz Exactly "I am extremely concerned about the EFF @Amanda he didn't answer my question...it does Malema is a dictator in the making @funicanz what about the militarization of the EFF? It reminds me of Idi Amin They may even invade the venue that's their style I always remind people that Malema was 12 years old when Masina was released from prison.His mentor was Peter Mokaba of 'kill the Boer fame *Madiba @funicanz you are right Mpofu is a member of the EFF executive @funicanz yes... Moyane is running from court to court and commission to commission wasting our time @Bophelo Malapela true "as a lawyer one can't keep defending hopeless cases Must I spell it out? SARS @Keatlarese @Bothell spot on @Keatlareste if you dint know SARS you must be a cyberbot Blocking a few people who trigger nonsense Thanks @funicanz The race card....when all else fails Mzilikazi Wa Afrika must have nightmares for falling for the 'rogue unit' scam...he was used to publish hogwash which brought the Sunday Times into disrepute.The Cato Manor story too. Moyane never opens his mouth...he uses his lawyers to speak for him hence Mpofu will do the bidding for him We are still waiting for the PP to produce the outcome of Estina Dairy invedtigation "Eish Moyane is pathetic "Yes but we all know the Estina report is biased "Shivambu brother Brian is trouble to the amount of R5.5m he borrowed from VBS I for one have no trust in the PP She does not represent the public...why is she also hunting down Gordhan? She wants to question Gordhan on the old 27 questions that the NPA sent to him after he was sacked by Zuma The EFF always knows beforehand what is happening inside the ANC and even makes it public before the ANC announces it Confirmed and the indisputable evidence? See my above explanation Eish I'm tired...the Notre Dame burnt last night it was terrible "Very thorough and exact Thank you Judge @Sindiswa correct.Mabuza and Ace territory @goolamv...yet the EFF are instigating communities to invade land in Gauteng I blocked him ages ago "Judge will need a long holiday Reserved @makhosi the ANC had 24 plus years to run Joburg....instead they stole the R1.7 billion "Sewerage doesn't spill into streets one day to the next...and remember Esidimeni? I lived in Joburg for 11 years until recently...potholes No...it's not a waste...only to those who do not understand policy and procedure Yes the ANC government should have resigned when Agrizzi provided tapes... They want another 25 years to rob the treasury...Ace wants to have the treasury nationalised Am I missing something? just read on Twitter state capture account that the cross exam was dismissed Thanks @Madelein Excellent @Eslon Eslon I was away for a minute "Read the analysis in the Daily Maverick...McBride opened a Pandoras box of corrupt *deceipt "Paul O'Sullivan did great work @Robert Russell they arrested both him and his assistant on false charges...they are desperate to jail and denigrate him "@Eslon Eslon long story Yes I saw it too @Robert Russell The ANC stole the future of the generation who was born in 1994...They only saw corruption in their lifetime And bribery is rife Cele made SAPS a quasi military outfit when he was police minister the first time now we have 'general's who never fought in a war "@Sibonakaliso Gumede we should never lose hope @Eslon Eslon😄 We have recent examples of how people made a change peacefully: Sudan and Algeria @David Hotz I blocked Thando Nkutha ages ago I know @Eslon Eslon point taken "The detail of McBride' s testimony is phenomenal I wish I kept my MAD magazines from my younger days @Robert Russell @Eslon Eslon I agree I hope Shamila Batohi start the prosecutions with this section of the commission...she has huge interest in cleaning out her backyard Goodness!Israel? They have the most sophisticated spyware...the new phone spying device cost millions.The Saudi government used it on Kashoggi The Saudis spied on Kashoggi and his whereabouts and consequently killed him brutally in the Turkish Saudi embassy. SAPS should do away with military nomenclature...they are servants of the people not the army Zuma shuffled his government on a regular basis...always at night.I think it was 9 or 11 times...every time someone new came in things were changed.The newcomers were Gupta state capture choices Brilliantly explained by McBride @nyiko nyiko thanks He has already been made Head of the Parliamentary Integrity Committee by CR...if the Zuma faction get rid of CR we are again in the same boat @David Hotz Exactly What an indictment on Zuma government!! All the decisions were made at the Gupta shebeen @Thami there was no line..just party interest So many names implicated @Thami the last time I looked the ANC is the governing party and they have the majority vote.Time and again the opposition parties complained the the ANC executive has no accountability. "The ANC is the national government overall The ANC other AGAINST no confidence I Zuma NINE times...they ruined the country with their looting
Nkanyezi Vilakati,Let Private Gorhan be cross examined is he superior than any South African Private Gorhan must fall together with his Cabal and Stratcom crew👇👇👇👇 I concur with u @Nelson Musoliwa let justice prevail If Pravin Gordan is cross examined his lies will be exposed @Quintin Jacobs 😂😂😂😂😂😂 @goolamv Stop exposing your exposing your stupidity Seserthembe PP may she can deal with the untouchable Gordan decisively Zondo and the Cabal crew have dis-legitimized the commission Zondo is having overtime to justify why the Paraffin price should not be reduced so that our people can have access to it😂😂😂😂 The Zondo madala will finish 10L trying to announce that the application is denied @Norman Zwane 😂😂😂😂😂 #Asijiki EFF ifikile
Wayne Serame,he must appear even in court witnesses are questioned by accused persons
Amanda Watson,"@Nkanyezi Vilakati Same for Moyane Someone says something somebody doesn't like then it's stratcom instead of interrogating what it is you don't like. It's the supreme bullshit argument. "@Magda Seguin It seems @Nkanyezi Vilakati has inside information "lol All Moyane has is smoke from the charred ashes of his career as a state capturer-in-chief @Quintin Jacobs Prove it. @Nkanyezi Vilakati​ Zondo and the Cabal crew have dis-legitimized the commission Shhhh @Quintin Jacobs The Judge is literally telling you right now Did he? @Quintin Jacobs Please provide links? Moyane does not dispute or deny Gordhan's allegations.... @goolamv Can't blame the lawyer for his clients shortcommings. lol @Jacob Zuma Malume @Jacob Zuma Ulapha? There was no rogue unit Treasury gets its money from Sars so.... bwahahahaha @Keatlaretse Phetwe too much of funny "The PP investigation is based on retracted media reports "@Quintin Jacobs I didn't realise putting forward facts was trolling EFF is politics of the stomach. "Lol "eff challenges ""white monopoly capital"" by helping to steal a whole bank" hahahaha that's a new one! whats race capture? "And with that """our race is captured"" 🤣" @ryan john Read the Constitution lately? "We Hehehehe "@Allan Tshuma Lol "Look under the SABC digital news link
Gxobilahle KaGandaya,I did not know there could be anything suspicious about Prav...who has since posed as Mr Tell IT All "All this shame is for by Africans Why cant the simply ask for a boxing ring then we all watch who is more powerful. This is silent war and is fought through laws and media etc. The question is..what is the prize? Media is very interesting We are all correct as we type any nonsense whether its a book or a simply tweet...we are correct
Aniceth De Missamou,"The rule says for you to cross examine any witness Did Moyane give a statement for him to want to cross examine Pravin? "Without any statement from Tom "The Gupta tried the same thing "@Elson Moyane has not given his version and yet waist money on applying for Leave to Cross Examine a witness. He must have a lot of cash to throw around? @Magda Seguin the lawyer is making money. Who is footing the bills for TM's lawyer? He doing a botched job. A great lawyer would've have advised his client not to pursue a non winnable case
Gugulethu Dube,Moyane in his bid to cross examine Gordhan also raises new questions which were never alleged at the commission but at different points in his interraction with Gordhan "This is a serious take down of Adv Mpofu
VICTOR SIWEYA,he must come to give his testimony first before he eximine others
