author,message
asanda ayasa arnold dumbu,v uu
FieliesSA,Great another day I wont get work done 😛 Lol that adv... we might be in for some sports Even better when Hoffmeyer is going to point us to those kickbacks "Waiting time. If she is innocent wasting time "@Pastor J.J If I was that guilty @Bumpy Johnson I bet you she is not paid peanuts... @Tumi Sereme 🤣 @Itumeleng Sebola 🤣🤣🤣 @Jacqui Baumgardt Yip and so far she is the star of the show 🙂 Kwinana favourite quote on facebook : Be the best you can be. Yeah right Maybe that qualification needs to be looked at... Might be fake @Tommygun true
Sibusiso Cilo,Yummy😃😃😃 "I would advise her to prepare PAMPERS "Miss Mbanjwa seems to have been a problem child I think u meant James Brown Please don't steel & hide behind being black. "Now u right lies are really difficult to control. Ask her when was she married I think she's thirsty Now she is angry
Zinhle Big Daddy Dee,We are here where are the people? We will start shortly the Red Brigade is not ready yet THE BEST ADVOCATE. KATE HOFMEYER!!!! SHES A BULLDOGG!!!!! When Kate is in the commission it means its going to be FIRE!!!!! @TichZiny Kate Hofmeyer is the best She is SOMETIMES better than Myburgh Where is Naledi Ballarooon today? Lol she wants to control the commission and now shes in big trouble!!! Hofmeyer is going to eat her up!!! What is this lady doing!!!! Why is she putting people under the bus!!! What is this lady doing Ive noticed that guilty people don't want to go down alone!!!! FIRE HOFMEYER FIRE!!!! Ooohh Mrs Mbanjwa is in Deep trouble Where is the balaroooon Naledi???? This lady Mrs Mbanjwa is fighting with Zondo @Valencia J kanti u know a stinking attitude Why is it that SA women once they have degrees and honors they development a very bad stinking attitude!!!? Any women please answer "@Jenny i know not all but these degrees make our SA women ugly  today is going to be a long day zondo wants to sit even after 6pm @Sbu Nkosi ure new here my brother u don't know whats going on relax Where are the regulars today tje people who actually know whats going on? @Siyanda Jola we are tired of newbies they change the whole chat Lol the newbies who are in this group change the whole chat because they say one or 2 things then run away . If u want us to hear u properly please be here the whole week not for 2 minutes then we must listen to u vent and rave Lol where has the Balarooon been all this time u missed everything!! @Naledi and your Afrikana friends aren't here today we have peace and quite @Naledi lol the Goat Mervin is always around when your Boer friends are here he is the one who works them up with the truth @Aubrey De Bliquy u already missed everything relax and listen to the chats first don't start with your long thinking talks @Cruda Bex explain properly ure gossiping now just explain what happened not your version We are back lets proceed @Yolo fire my brother @Asanda this is Kate Hofmeyer shes the best!!!! @Naledi Balaroon 90% of women from SA are rude and entitled when they get thier degrees @Makosini Thank u 90% @Ndzala very true!!! Those ones we cheat on with a smile @Naledi Balaroon i think i need your social platform @Naledi Balaroon why is Valencia J becoming jealous? @Valencia J stop interfering with our new relationship with Naledi "@Valencia J  Why are the ladies being so difficult!! This is becoming a Vs show @Valencia J i don't know if uve noticed that Naledi actually likes me! Don't get jealous that the boys don't find u entertaining anymore Naledi Balaroon and I have a connection don't be jealous Valencia J don't get in between us what i call her and what she calls me has nothing to do with u FIRE HOFMEYER FIRE!!!! FIRE HOFMEYER
Maxwell Sibiya,We are ready 😀 Here we go
Goran Djocik,morning what time do they start today why the delay?
dee dee cocroft,vote DA lovely day in PE ever been to the western cape ? clean clean clean let the party begin:elbowcough: heare we go miss Hoffmehyer the best play nicely together everyone memory loss like all the skelm implicated dik skelm the pot is boiling and the frog wants out what a dumb lawyer this will always happen when totally incompetent people are placed in positions the know nothing about she's a Zuma lackey well said Andy miss Hoffmehyer is on fire and the witness is being roasted . lekkerrrrrrrrrrrrrr this dummy can't answer simple questions can't remember chair lo dom
John Beukes,10 ohhhhh noooo here we go again encounter 😬
hirsitus,Blue Monday Beware of Miss H @Mike for sure Poor DCJ & this Miss B DCJ had enough Tantrums look at how she sits DCJ is BOSS Mis H's going to rip her apart now Poison ivy Now she looks scared @ Mzalwane Mzala 😆😆😆 "I did NOT steal @Johannes true Mama Thug 🤣🤣🤣 in hindsight @Dan agree 100% And now the Orange overalls tender :elbowcough::elbowcough::elbowcough: i dont know where DCJ get the patience they wont derail Ms H 😡😡😡😡 Miss H 🔥🔥🔥🔥🔥 @zip 🤣🤣🤣🤣 what about Major 1 ? lies lies lies she's got this Skelm look 🤣🤣🤣🤣🤣🤣🤣🤣🤣 🤣🤣🤣🤣🤣 @dada ngova 🤣🤣🤣🤣🤣🤣🤣 the mind boggles & the pay her a huge salary
Pastor J.J,@dee dee cocroft Why? @SanFran Arnold Do you see me? @SanFran Arnold ? @SanFran Arnold 100% @Khanyi. AgeGracefully Morning Sissie @FieliesSA That too and all the heart problems etc. 2nd witness+you. # 3 crooks in the team @Anne M. Getting better everyday. Thanks Anne @Elvis Malakoane @Valencia J @SanFran Arnold Someone needs to stand at the bathroom window during the adjournment. I have a sinking feeling that 2 people are going to plot and escape. @Elvis Malakoane Right here bro. Sending you messages with no response This one and Mbanjwa are going to be declared delinquents and escapees at 11.35 am @SanFran Arnold This 2 look like they came equipped to break out of any tronk today @Yolo More I see you. You look lovely today. hehehehehe @R E The aeroplane offcourse @R E Very naughteeeeeee @Khanyi. AgeGracefully we are right here my sista. @Bongumenzi Nxumalo @Khanyi. AgeGracefully Did not say all blacks. I think you perhaps misunderstood her comment. @Bongumenzi Nxumalo I seemed to understand it differently. But I have been wrong before Bro. "Lets not forget to remember that Ms Mbanjwa is implicated because she did the agreements and facilitated the R4 @Yolo More Did you have surgery since friday? @Mbuso Ndlovu Lets wait and see. @Mbuso Ndlovu Did you ever sin in your life. Perhaps stole 10cents or a fruit from the neighbours tree or maybe cheated with the neighbours wife? @Mbuso Ndlovu Thanks for that insight. I now fully understand your stance. hahahahahaha @Mbuso Ndlovu Some bigger than others but sinners neverthless @Heather Durr I gave her that ring to mark our Anniversary. @Jerry Lamola Brilliant @Valencia J 101% correct @zip reeper Brilliant you Trevor Noah impersonator...hahahahahaha @Teunis van Ree Greetings Bro @Naledi Barron All Gold....hahahahahaha @a b c I swear she mentioned you. hahahahahahaha We must transfer Ms Kwinana to the Catering Dept of SAA. She can support by peeling the potatoes @Nein da Could it be a washing line perhaps?
