author,message
Sindiswa Moolman,He was Bosasa COO @Roux Beukes "He is doing an ""Agliotti"" snitching hopping that he will get immunity from prosecution." I think its for subsidized employees in government @Khalid Mather. It is a scheme for officials who do a lot of official travelling SMS stands for Senior Managers Services Senior Management Services @Khalid Mather Who was going to get this money? This man is going to mention 38 names who were bribed by Bosasa. I am trying to think and wonder who is consulting his or lawyers right now. I think its the witness @Sino Msane He was trusted to do so because he was also part of the whole corrupt cabal @Sino Msane It is here to confuse us @Andrew Mounsear-Wilson How was this money withdrawn from the banks? How did it leave the banks @The Jack-all ? can somebody enlighten me? Hope the Hawks are already on their way to raid Bosasa offices
Hlalanathi Mbimbi,What is title of the person giving evidence? Why did he want them to take a video? """It is money in a bag""" """It's the sound of the box with a cash in it""" 1.3 billion that is still nothing
"Mandla, Mncube"
Mthobeli Farm,"@Maphike Gloria because they are rich @Andrew Mounsear-Wilson exactly
Andrew Mounsear-Wilson,load vlc! Video killed the bribery star "look at the size of him nah @Thando Nkutha the guy has glasses...they're usually nerds I like the way they've kept the static in the audio "@Thando Nkutha the glasses are natural prophylactics no one has turned on his mic @Skhumbuzo no corruption in a vacuum the rainbow of corruption PEBKAC 2.5years until the commission does the full report """my kids buy me books for christmas and i use them to record crime""" the wheels on the bus are greased by bribes "@makhosi nobhatyi ""he says he's changed"" caught holding the bag @cl4hisown the ANC also declared the NEC the highest decision makers in the country. un-elected un-representative officials "@Yose Human the Tutsi's are killing us @Magda Seguin abstaining is a vote for people you don't want in power @Yose Human it would be awkward if there was a M&G article on Mbeki and Bosasa...in 2009 15% "@psyfrequency Techno don't tell the viking "Heard of cooldrinks being code for bribes @Cassius Mngomezulu if one is many @Nozipho Thembeka you can block him banning plastic bags would have stopped this @Nozipho Thembeka it's much better without the russian spam bots "Love how WMC was proved to be propaganda Quick someone pay their tv licence
patrick mukatshelwa,It’s getting hotter "This man is unshakable "Guptas r nt off the hook hey
michael mbatha,Uyanyisa lo Agrizzi. Tjerrr. Blow by blow. "Hopefully this expert won't make a ""mistake"" and corrupt the whole video and we be told it's ""lost""" I'm sure the EFF is discussing when they will hold a press conference and Julius will be shouting WMC Yose - do you have a problem with us Zulus? """Monopoly money"" lol 😃 WMC"
Judas Sambo,guys help me wht gng on here i mean wht are they trying to find out with the video here cos they mention busasa and busasa involves matamela
Pfunzo Thomas,What is going on guys
Robert Russell,@Andrew Mounsear-Wilson ROFLMAO Download VLC problem solved ANC = Another Network of Corruption Agrizzi has huge balls giving this testimony Hover over the comment and you will see 3 dots... click on them for options Yes he said he did @Desmond Masilela I feel he has done a deal with NPA They still owe him around R22m severance package... which they are not paying... hence he is chucking them under the bus It's public knowledge ... Daily Maverick and M&G Gwede was do "Gwede was ""donated"" 3 CCTV systems... Vincent Smith was around R280K"
Chris Welensky,Eish these computer stuffs eish difficult! Money for nothing. KFC for free! All guilty must slave at chain-gang labour farms to supply schools and hospitals with food "@Yose Human not only blacks! This white dude said he went to work for them because they were all ""christian"" Blind faith is bad for everyone" @Thando Nkutha don't trust ANYONE! "All political parties are corrupt thiefs! I'll give the ZOLL party a try. Dagga bro's don't see the colour of skin. Let puff @Khalid Mather sweet my Bro! Peace with DP! EFF = Every Freak's Fault! "@Yose Human before you want to be mouth peace EFF thinks it's normal to hate "Every culture @Buyiswa Mnyani I don't support DP but get your facts straight. He borrowed donated tablets to teach at a poor school. @Buyiswa Mnyani ngenxa lady uhlobo "How many ppl did Idi Amin kill? An estimate compiled by exile organizations with the help of Amnesty International puts the number killed at 500
Allan 28,lol keep the Mic on plz @Andrew Mounsear-Wilson a whole Unit show us the money Guys if you have never seen a million with your own eyes. well there it is signal jemmying from Luthuli house "Luthuli house will cut the feed watch the space
Andre Gerber,"Agrizzi had a near death experience and discussed the whole thing with his family to come clean. He received R50 mil "nobody knew he was going to testify until yesterday morning it's bribe money
Neville S'thembiso Leisa,was that Vincent Smith
Jacques Swart,You guys clearly don’t have a clue what that pc can do 😂😂 I pretty sure this “expert” had Dropbox with backups. Nobody is not corrupt
Abner Ndapandula Kueyo,That Laptop needs to crush....Just for controls sake!
Thulasizwe Mwelase,thrle whole bag of potatoes is rotten don't know who to trust or vote for anymore
phahlana sammitto,VLC is the problem master mind hlemokwa lekgowanyana tena.
Skhumbuzo Mgobhozi,I always thought white people were not corrupt
Mutwali Omer,Is not about white ppl
Mikateko Maluleke,They must give him security after this cus after all he is snitching
Mpoane Godwin Manaka,All I wanna see is people going to prison
Lulama Mweli,I'm with you @Mpoane Godwin Manaka Vote ANC Dumela le wena @Auti Mjita
Momelezi Vellem,hE AINT JUST SINGING... HE PLAYING A MOVIE... AND SOMEONE WILL STILL TRY TO ARGUE IT AINT THEM
Thabang Mahlangu,"This is just a temporary hype Khalid Mather SMS = senior managment service (According to DPSA)
olga mayeza,individuals not ANC never eff wont take us anywhere in case you haven't realize new dawn
Banele Success,Hahahahaha lol I believe so Thabang or even better wth the Guptus
Gareth Morgan,@Mpoane Godwin Manaka i hear you Any bookies on here giving odds as to if people will face jail or if people may end up 6ft under? any bets on gavin watson and those implicated heading to dubai We the public should rise and show thes corrupt families no more
