author,message
Gert Coetzee,Well prepared adv Pretorius. How will the criminal procedures work for those found to be guilty
Maphepa Makobela,Sondela Where's Nadine
Thabo Modibedi,Where are the witnesses?
Shaun Teis,100yrs
Sabelo Devaldo Nkwinika,bacalanini kuvela lebanebufakazi ngiyifuna lapho. nami ngikule wait n c lol
tonic mabunda,2 years no guy is a west of our money
shekinah lutumba,south Africa laws systems are very slow reason why people don't care.
T.S Mokoena,state capture has really drained this country financially. The youth feeling it more. There is a youth protest looming on social media on Youth unemployment. peoples eyes are open now. Come 2019 But it's not doing right by the Youth with the current state of events in the country anything is possible. over 1000 unemployed youth are voicing their concerns on social media how much is this commission costing us? @stanley if they are grouping to better youth employment in the country I will gladly stand with them. Corruption of our black brothers has made unemployment stats sky rocket 😁 ul go to jail I think it's a legal firm. Mcedisi Ndlovu don't remember what the S stand for sedumedi
Pastoolio Poggempoel,and still they will vote for the anc the youth It's my opinion And after 2019 it will be fact "@Mpho Mashigo You are right @MIKE LOCK I doubt that. The ANC will throw a few people under the buss but Numba Wun will not see the inside of a jail cell anytime soon. And food parcels into votes heahehaea that's funny @Mpho Mashigo and so is Mugabe hey?
Patrick Esau,puppetry in motion
Stanley Gumza,We love Anc guys no ways... 2yrs yooh Yes people still loves this movement guys Cyril is still mending some things let's wait and see... Theirs no capable political party that can unseat Anc led gov... lols yebooh guys...apartheid gov stole more than we knows.. Maybe who knows... some just wanted political scores... Theirs no such chief this is about remgro(rupert)and exxaro and oppeinheimers... lols true... We still love this country we dont wanna see zulu's ethnic cleansing Not possible.. Start with exxaro and remgro executives who were supplying coals for the past 80yrs it's tough in this country but read more not to be misled... General Ace is not going anywhere there you are dividing the Anc... White people are using this commission to regroup watch out guys... They are busy on training now... Wanted to diffent their land.. Gaddaffi was never notorious they brainwashed you through main stream media... state capture is on indians and blacks not rupert.. Lols how about four banks that are busy giving you car loans only.. You deserve car only lols... lols you are struggling within your country "Go there and get car loans#fnb shame on disunited black people... lols shame thuli media attention-seeker lols you want it to be selled to who usa? You dont know russia chief..drink water and relax is still the same theirs saudi arabia now?
Mathews Dhlamini,ewu
Gershin Boesak,It will take years until we get closure on this.
MIKE DURBAN,Thank you Lord.....it has at least stated.... Whoever is found guilty...is gonna go down man... Stanley....you idiot brainwashed Bra Thabiso....100% correct Bra..
Mpho Mashigo,we will vote ANC until until 🤗viva congolose viva! State Capture stated 1913 we are turning our backs on western colonizers and USA... viva brics viva!... SA economy is junk bla bla bla... no should invest... China invests... now China is a bad country Zuma is like Jesus! hands off Nxamalala... commander and chief of mkonto we sizwe... the guy who gave Dr clerk no choice but to free Mandela🤗 keep dreaming! Zuma has been on robbed island before... Apartheid Government failed to keep him down... who are YOU? yoh yoh yoh... He still is... MK is alive and kicking baba... if a civil war were to break up... ghost will come alive😅😅😅 He rubs shoulders with people like Putin and Xi... free minded thinker ... Not a stooge baba... notorious like Mugabe. cuba. Gaddafi... Saddam Hussein... Gaddafi is hero baba... champion in African development... Africa will be free from economic slavery... the sleeping giant is awakening🤗🤗🤗 Yebo... Mugabe... if it wasn't for sanctions imposed on Zimbabwe... it would be far now... Americans destroy Zimbabwe with sanctions... Not that the people there are incompetent... Public Protector report? I read that bull ... my 13 year old child writes better reports... it's just full of allegations... no contract numbers. no dubious invoice numbers... nothing useful Divide and Conquer system... Not anymore... Let's all unite my black brother and sisters... Africa is one country😋
Bantu Mtshiselwa,This is yet another TRC. thando that's not really clear if anyone would be prosecuted after this
Mandla Norman Krakra,"What is sickening "Yes Stan "Thando "What truth will come out "Thando "What sentence Thando "Too much investigation Thiza that's true "Exactly Ramap h even scared to spell his name "Lawrence
Conny Semenya,live
vuisile hoza,we all know no 1 is going to prison 4 this "in other counties state capture is treason yes mandla Y?? already about 50million has been spent on security 4 this
paul scott,f u I am co
Éëm Kåy Kãmü,voisile thanks for that....
Mahlako Elliot Nkosi,the truth will comes out
thabani dhliwayo,those who think JZ will be prosecuted they are day dreaming.whites want to see black people being prosecuted and sent to jail are white people clean how many companies do business with government what about evergreen contracts given to white owned companies is this not state capture
thando cezula,We have an independent judiciary! I'm black and I want to see Zuma prosecuted!
Thabiso Molefe,Its not about the colour but justice I wish I could belief you @mpho Mashigo @Mpho Mashigo tables do indeed turn most of the times @stanley for what? some are going to Jail because they know to people to believe on them they must present something near legit. so some will be sacrificed and go to jail for Zuma to survive Shabir was sacrificed thats how it works @mandla yeah!!!! @Mike Yeah sure
Mzalwane Mzala,Hola Advocate Norman. How can this commission be a factional tool against Zuma when he himself has proclaimed it? @Thiza William You are correct @Stanley Gumza We still have not heard people who say Ruppert promised them cabinet positions.
My music,"it seems
Robert Russell,"In general... our back communities get more services provided by the state then do white communities... therefore it beggars the question.... WHO did Zuma Thiza... Zuma was always the Commander in THIEF....even from the early 70's
Thiza William,know history Zuma was never MK Commander in Chief if you dont know what Zuma did wrong definitely you're staying in coocko land where lies are converted into truth and water into wine only two commander in chief existed in life of MK Mandela as the first and OR Tambo as the second. MK was disbanded in 1993 before Zuma became a President of the ANC You don't even know history Zuma is going down..
