author,message
Allan 28,This evidence leader is so cute
TheC4RB1N3,Zuma is going down it's crazy the meeting "It is so sad
tererai chipango,TOOO CUTE head of NPA Without practicing as an attorney
dave east,whar whats her name @Luckey Binali what did u say @Luckey Binali prove the eff is racist how is the eff violent violent in what way. speaking for the poor black majority is right. we have been displaced and are politically fighting to making things right so voting so black people can control their own future isnt worth voting 4 voting so we can control and have institutions built and governed by our children is worth 1 minute ticketing a box vote eff they want land and control to nationalize institutions so the prople benefit from the resources @Khothatso Khiba ANC is not for black people. they have had 25 years and we south africans are poor while white and indians are rich of our land and resources
Nkosikhona Ginya,this is zuma day Zuma and His friends were always looking for someone who was going to be their gateway to everything... its bad because this was pure manipulation of innocent people who wanted to serve the country "yeah maleka was trying to explain that he has no issues against Manyi as he suggested
Thembani Billy Ntuli,tooo cute
Sifiso Mngoma,It must be nice being this guy...appointed to such a high position with ZERO TO NONE EXPERIENCE Okay this lady is so BAE
Thanyani Tambani,we were busy thinking everything is in order under Pres zuma leadership..
Andre Gerber,the Zuptas must have thought he will be easily corrupted the commission are getting a lot of info on a corrupt ANC and Zumanites and this with a national election 6/7 months away "in Dec the commission takes a break i think the best will be a coalition gov next year What is Manyi going to say now he can't BS anymore @Ewald Kruger he will ask all evidence leaders not to cross examine him "@Ewald Kruger he did not have counsel the other day Commission is going to give him counsel yes Maleka told the commission the day he wanted Maleka recused thatis one of the reasons he accepted Maleka after the break you can watch on Manyi's 2nd day thats the reason I said he was ignoring Maleka on the 1st day see all the next time
AFRICA AZANIA,the whole AnC leadership is corrupt nxt year make sure u vote fo me "yr vote is yr voice so u trying to say u lost hope?
Sthakathi Khumalo,No experience but people are advising government separtments and visitors hmm peter pott LOOOOLs so much lies hebana
Musa Bakiti,Black race we should agree that we are all weak to say no to corruption.
Luckey Binali,"ANC is corrupt @dave exactly that I don't have to prove to anybody @dave I've just said my reasons why I won't vote I'd rather go watch bafana lose than going to the polls I'm sure u got ur reasons why you will vote none of the parties make sense for me to vote for them exactly ANC will rule forever as long as we still have paranoid or gullible people who your vote is your voice is the crap that politicians use to control pple but once u vote them in they don't recognise your voice nomore. so why would I waste my time and energy voting
Jaco Wolmarans,SA is ungovernable and will always be.
Ewald Kruger,@Luckey Binali Agree fully. Only reason to vote for the DA is the chances of getting service delivery is better 😃 Should one not think more pragmatically @Luckey Binali? Only reason I would vote for the DA is not because of their policies and values bla-bla but chances potholes will be fixed etc. I can see Jimmy pooping in his pants next time we see him here @Andre Gerber​ 😀 😀 😀 he will pitch with his own @Andre Gerber He asked Maleka? 😀 @Andre Gerber 😀 can't stop laughing @Andre Gerber "Will have a look "😀 @Nkosikhona Ginya. Poor Jimmy
Calm Relaxation Music Chilled,ANC is no longer the same.
Katlego Mapheto,"EFF for africans  @The Explore Store violence ke mmago..where did you see EFF doing violent conduct?
wisani wiseman manganyi,My vote will go to EFF for a change I guess majority of them are not qualified for those positions
The Explore Store,Julius malema excites violence
smanga mpilo,It seems like all departments need to be evaluated an see whether those who holds those high positions are qualified
Wesley M,corruption broke South Africa.
Wildthing,SAA comes to mind Time to get ride of PP fast
Some guy,wats up suckers what causes eyes to look in 2 different directions?
peter pott,"fmr president Zuma is so astute. he never told people why he fired them. they are just guessing "gents
Speckled Trim,Thank you very much
