author,message
Kgoshi Phala Makgoropane Phala III,am tired really abt Zuma and so called legal team it was a waste of time really and state resources
Rifumo Nicholas,YAY Thank you......
Thabani Mthethwa,It because Ramaphosa is found guilty Public Protector for President😂😂😂😂😂 @KEITH SINDILE DINABANTU . Sout hAfrica is very interesting today
MSG Rules,O yeeeesssssss he will be coughing yebo yessss zoom zoom going to spill it all think they were told to vonitnue otherwise they will be forced
Free State underrated,"@Mooya
Nokwazi Shezi,🙄🙄🙄
Kholi Ngcakani,ok..wow and stop say I dont recall Sikhakhane looks unhappy two weeks??? maybe the questions should be in zulu f this!!! 🙄 here we go
Ishaad Mohammed,theres some sour faces there
Jngle Pssy,yes! KFC and state capture on a Friday hmmmm kumnandi 👌 zondo 1 - zuma 0
Melikhaya Qwakanisa,wow
Ms Cee,"my father 
Rushay Booysen,🤣🤣🤣🤣🤣 he got no choice to continue
Thabo Kgatitswe,Zuma o batla special treatment
kio 786,Thanks baba Zondo on being on JAY ZEE SIDE RIP Pretorius 🤗🤗🤗🤗🤗🤗🤗🤗🤗Mafia style
Sakhi Hadebe,Sikhakhane looks sour
Eugene Ntela,no jokes are tolerated in chambers baba
BABALWA CHUTU,Zulu's please be on point and stop wasting time "Zondo and zuma both zulus when? Zondo captured Zondo will never win this battle and i think Mogoeng mOgoeng must resume his duty
Kwanda Bhekizitha,President has changed his mind
Glen Khumalo,Baba🔥🔥😊
Bernard Mangava,The prosecutor must not act as if zuma is already guilty Pretorous messed up Pretorous don't know what cross examination mean he should just learn to respect other learned members of the legal team for the ex president He is given the platform bcos he is not an accused but a mere witness
makhosi nobhatyi,Why he would choose "What do you expect is going to happen to mr Ramaphosa after these findings in parliament and Luthuli house Ace Magashule Monday morning will start looking for Ace Magashule conduct "@Sebation nantsika Ace Magashule deploys all rotten potatoes at Luthuli house and parliament 🙆🏻‍♀️🙆🏻‍♀️ mr Ramaphosa should stand up and fight for this
Tumelo Mpethwani,Skhakhane is very worried
Binginkosi Duladula,zuma must go down today when they come back to break is going to be hard for zuma now everything is high coz off zuma
Gwanya Mandla,Mr zondo
Lorna Kavanagh,The commission has given on to zuma The facts are the country suffered immensely under his 9 year leadership
Tavrare Racetrack,ZUMA MUGABE ZUMA MUGABE FOR LIFE
Nomhle Ngubane,I salute Zuma's Council they have exposed the biasesnes of Pretorias
Edwin Arthur,hz doesnt like a qustion where the truth comes out no clapping please
Liz Profe,must our justice system look like a joke he will get away with it all he will forget to come back seat is too hot he is not above the law he is happy now and must give a speech lol please do not use the word honesty he cannot answer honestly look at the relief on his face you waste of money here he's he's so happy now!!
George Khunou,The statements from Zuma will contain only this phrases: I dont know;No Comment and I cant recall what they are talking about.
Mlandeli Stemela,YOU RITE MR ZONDO AS MUCH NAM NDIHLELI APHA OFFICE NDIBONA LONTO ngendikubamba isandlaukuba ubulapha close nam ust for lonto again an again baba Zondo siyabonga ngendlla osayisingathe ngayo lenyewe enkosi enkosi enkosi baba Zondo
Nothando Ngwenya,Zuma Zuma Zuma....... @Eliot I agree
Walter Matete,"JayZ council set terms of compliance...lol ~@}-*1
Maria Mahalie,Now we speak Pretorious messed up "Viva Zuma
William Mashilo,Get on with the job please
tienienel,THE COMMISION HAD BEEN CAPTURED THERE GOES THE TRUTH A WINNING FOR ZUMA
Robert Mtshemla,is mr zuma that man is a South African comrade niya dlala nina
lynette strydom,there is on prosecutor this is a comission
jjkrew,delay tactics
THABE PHALANE,state capture inquiry is now captured
Eliot Chauke,The timing was wrong. Zondo got it all wrong. it was too soon to call the big Elephant "Ramaphosa teamed up with Jamnandas
KATLEGO BANDA,ahhh come on
Damon Radebe,Pretorius Messed up Thanks to Former President for continually teaching us Mr President the Floor is Yours!! Bathathe Msholozi Our President Chairing the commission and providing evidence "Zondo is fair
zacharia mhuruyengwe,zondo is the game changer in all this whatever side it goes
fikile mbokodi,what happens if all the witnesses will come with the same attitude ..this commission is shhoting it self to the foot
Vuyelwa Maseko,off the hook for now
Siyakudumisa Ndesi,im concerned with next witnesses after such commsion breaks by JZ
Zama Kubheka,@Bernard Mangava I agree he should have been questioned by Ms Hofmeyer. Pretorious is too weak 1 minute and he is already drinking water
Karen x,WHy BErnard to PRetorius mess up.....
Adrian Ceasar,DRUNK
Danie Nilsen,Pretorious did not eat curry or have a house in dubai
Mashamba Chauke,welcome back mr Zuma
Elizabeth Arendse,More listen care I ain’t saying nothing!
sithembinkosi hlophe,he's not coming back ..
Nkululeko Nkululeko,the defense is chickening out.. lol we knw the result
kgodisho frederick,Zuma his out definitely........ this commission is captured 🤔🤔🤔🤔 just like that
Nontokozo Mngomezulu,lol
Slindile Ngcobo,WHAT IS STATE CAPTURE?? ​WHAT IS STATE CAPTURE?? DON'T FORGET THAT THE CHAIR WAS APPOINTED BY MOGOENG MOGOENG
Raynold Lesego,We can t afford to loose the information tha Zuma is having right now
Fumanekile Phamba,teaching us what Why give this witness a platform He is witness nothing more why giving him special treatment
Timios Serumula,Zuma must fall 😅 😅 😅
vibeyzulugal,"court adjourned  "siyahamba manje  thanks Zondo bye bye thanks Zondo bye bye nkuzimalanga Nxamalala Zuma ndoda enamakhanda amabili Zuma is not a Popeye "He is a man  amandla !!
Katlego Mothutsi,What time did they come back?
Refiloe Nkabinde,teaching you bokelema you must apologize to mama khala no you were planned just that to disrupt. you wanted questions and because you could not get the question you want paragraph where questions will be asked
james kariuki,to say what what wasteful day
Peter Sema,and pls wat u doing nw mr zondo must be applicable to each and evry witness
Alan Mhlongo,"money move "why is he speaking now "it seems like Zuma has won again "@iam free true
Lesego Maseko,He cant answer questions I mean simple ones but watch him when he addressing the crowd outside
Tebogo V,"Screw you Zondo This witness is treated with kid gloves. Homeboy Zondo thank you for getting me off the hook Useless big barrel head
Dominique Julius,"No other witness has been accommodated this much
Johan Le Grange,The inquiry is Captured The Inquiry is Captured
lungelo ntaba,my president speaks 😚😚
Steve Van Niekerk,Crook SA the country of crooks and scoundrels
SHAN SOFAR,Mr Zuma is within his right this is how these people jailed people with the devious ways Mr Zuma is no fool
COLLEN COLLEN,there's not SA person named ying Yang
Lew464,the corrupt THIEF speaks.
Smangaliso Vilakazi,sidlala u Zuma nje
phethani Budeli,this dude clear his throat every second
F-Eazy Sishi,Antonie.. The Smell is your upper lip
daz tron,what kind of hope do we have as a country and of all its people if this criminal is free to dodge what he deserves raping all hard working citizens of a productive growth He will run to Dubai with our billions to continue with his enrichment
