author,message
Nyasimi Geoffrey,what time is it starting today? seems boring today today i imagin how this guy tunes a girl very polite old man i love that condom part @Louise this is the internet @Pastor J no need to love this man you can love me instread @Pastor J thank you....Sending My Love from Kenya. When is thing concluding? @Moses Sandile whats up? @Thando Nkutha relux and gooby see you on monday Sorry wring text
Derrick saperstein,10 or possibly 10:30 "The judge has got some other meeting this morning "Yes Robin "Hey Guys
Kevin Simon,Going back to yesterday. I don't think HGM had the capacity to understand how Multichoice played him. He was blinded by the R11m success fee. Matric or not he simply was outsmarted.
Jabu Nhlanhla,mrng all salute Claudia
Claudia Nozipho NGUBO,morning Jabu
Pastor J.J,@Derrick saperstein ...Very well said Derrick.Blessings to you Brother. @SABC Digital News Please correct sound. Both @Thando Nkutha and I are battling to hear anything.Pleeeeeeeeez Baba @Moses Sandile Please send your address urgently as I need to book the Uber. @osamakue osas Are you really a violent person? @Moses Sandile .Thats okay for you.I respect your personal views. I should try and remember that when either me or my brethren in Ministry is asked to conduct your final rites. hahahahaha "@I Am Free ... Saw them kicking @I Am Free That is common in Politics. @Moses Sandile . I am more Zulu than you are. So where should I send you. Fort Napier or Weskoppies. Take your pick though I think both will suit you very well. yes we should @Moses Sandile .Thats indeed sad. I have just figured out that you are Indian. @Rob Nel You are aboslutely right. @Thando Nkutha So did I but............. @Thando Nkutha This drought doesnt help a lot my friend. @I Am Free ..I just realised that Political speeches is both about Inciting and Inspiring people. What a contradiction sometimes. @Moses Sandile ...MY LAST RESPONSE TO YOU. DESPITE YOU ATTACKING AND INSULTING ME AND OTHERS HERE. I WANT TO ASSURE YOU THAT I LOVE YOU. @Nyasimi Geoffrey I do my friend.
Geee,Volume please
postmaster,I can't say I have a black wife and kids but I agree well said D
clarence thusi,"u cant be a broke racist
Albert Noah,Volume is zero
Immanuel,so no rao-rao today😁
Reinette Raubenheimer,volume please #SABC
Siyabonga Majola,nobody wants to go to nigeria just chill
Vukosi Doug,chilll man
Ben Cole,Please no more to and fros in xenophobic conversations. We have had enough.
Sbo Gumede,😂😂😂😂 "bring it on brother ""osamakue""" osamakue just bring the fire stop talking too much yeah Thando bakuphi?
osamakue osas,don't worry we going to do that in lagos I promise you guys okay
Banzi Ngubane,"Osas please my friend keep your Nigeria
hendrix jeranyama,no violence please i support rob nel "Cassius Mngomezulu  "Moses Sandile ​: tru thatNyasimi Geoffrey everyone must block sandile moses "moses sandile  "Thando Nkutha
Chris Giffard,"Garth Strachan
Rob Nel,"Never @Moses Sandile think up a new slogan...boring @I Am Free agree the Free Love party. The FL party #Pastor J Suggest you ignore . He is so thick he is a waste of time
shabangu lucky,@Thanks Thando
Speckled Trim,The SABS mark placement is part of the manufacturing process. Land or death was declared hate speech by the SAHRC It was on the BLF website on the internet. They were ordered to remove it So you think the internet protects you from hate speech laws? I'm recording your info Thando it is ongoing #wedonotsleep
Born free,Why do Blacks find it so difficult to change the Corrupt Governments of their countries. There has to be more dissatisfied black people than there is the Government? Zuma you have changed your name.. why?
clive oconnell,Zuma trying not to pay hit loan VFS
Cassius Mngomezulu,this guy is waisting my data/time
Zama Kubheka,"Morning @Thando Nkutha thanks
Mkabayi kaSenzangakhona,all this bottle talk is making me crave whiskey... 😅😅
Seonyatseng Mosala,guys who is this guy i have just arrived ok tnx Thando so SABS go jelwe madi a gov
Jane .Blamire,Im feeling the love today. Goodbye Moses you are blocked
Dirk vd Westhuyzen,".l
Lew464,let the court hearings start. Prosecutions.
