author,message
Sandile Khowane,"SABC is not respecting us here
Ntokozo Kunene,this broadcast is a mess today. Breaks every 2 mins followed by ads and more ads.
Neil Fraser,Desmond - and what is the cost of this product by now to pay everyone to Jewish - and everyone draws a salary Oops - jeees Has anyone counted the number of people involved in a purchase? Get out of here Yose. Your derogatory comments not wanted
Epnet Streaming,Sorry for the blackouts we are experiencing EMF Waves SABC Yup the video has not been captured correctly! Seasons yes that is correct hehe ESKOM has also captured this video send pulses to destroy us Say what you like no one at SABC is watching these comments Whew I think 7 depsrtments EMF Waves are causing these blackouts
Abo Macala,He avoided the question
Wihan Booyse,i thought my internet was buffering
Michel Basson,i get a lot of Shoprite adds the whole time stuffing up everything
mike molefe,SABC must be unbundled into 3 units
M T,What the? Hi all - will check back later. This will make me strip my “bolts”.
Cassius Mngomezulu,i dont know Bathabile is married to Dlamini for your info no sotho
Suzanne,Just keep reporting and blocking Yose...
Fils de l'homme,Hello to all my BANTUS Hello to all Caucasians Morning to all the Coulies and hotentotes @Yose Human u r right about the African NAtional Crooks (ANC) why is South AFrican Bantu Corporation (SABC) having an unstable connection @Lucky123 Thwala SABC is South African Bantu Corporation @Robert Russell Vote for the FREEDOM of the TRANSVAAL @Van Rural Boy Myeki VOTE for the FREEDOM of the TRANSVAAL @Felix Muyoba waat gaan aan? @Munyaradzi Chivhumbu VOTE for the FREEDOM of TRANSVAAL
Peet Venter,My goodness! Can it take sò long to satisfactorily explain one point!
Makwa Choma,"Yose that is not true
Anne M.,Hop over to eNCA. They're interviewing someone at the commission Tea @welton paulse I'm going to watch the eNCA broadcast. No problems there
Sofia Sofia,Hi All is this over or just tea? Thanks @Anne M. How Ads ! how did that happen wer do they get stupid ADVs from ? seriously this one is a snail in peanut butter ! @Cebo Khumalo your point ? @Gcobisa ntsatha your point ? corruption knows no colour ! what's this nonsense with ads! This man is a liar and he should just leave the stand .... wasting my time with his BS @Sthakathi Khumalo I don't think its nice to make such comments ! lambaste this man not Indians on a whole . Absolout It feels like open season for liars at Eskom ! Eskom are like commercials?You can't believe a word they say ! I think if he spoke the truth he might have made sense ..... Did he resign from his position ? Or did he continue knowing what was happening ? @Bridgette Kekana @Felix Muyoba No human race is superior; no religious faith is inferior. All collective judgments are wrong. Only racists make them ! its because of people like @Bridgette Kekana and friends our beautiful country is in shams !
Briony French,How does adverts come through on a live feed?
Lindikaya Myeki,Fraudstars
Felix Muyoba,@Van Rural Boy Myeki agree @Tich Ziny true @Desmond Masilela these guys were all accomplices meeting at night? "@John James in the name of clients but the money was coming back to their pockets again it is a messy affair at eskom @Desmond Masilela he was an accomplice in looting eskom as well @Desmond Masilela i follow your argument @John James remember that suppliers will promise him that if you effect the payments as soon as possible we will give you a tip..and then he does that without thinking of the consequences "no man why such a hurry to effect the payments without following the accounting procedures? @Franco Gresele agree "@makhosi nobhatyi no man @Franco Gresele hahaha please you are too radical on this @Indoda Yamaqiniso true and this needs to be changed @Desmond Masilela those guys were all benefiting from that money.. @Desmond Masilela imagine.. "@Christian W hahaha "exactly they just wanted their cuts from that 659 million @Desmond Masilela yebo @Desmond Masilela i wish the suppliers are also summoned to this commision @Desmond Masilela perhaps they (suppliers) may open up more cans of worm just like agrizzi "hau "exactly @Desmond Masilela that is why we need the suppliers to also come and tesity..perhaps they will tell us that we paid him to effect that payment @Bridgette Kekana haha @Sofia Sofia @welton paulse @Sthakathi Khumalo given the guptas saga..i am in support of @Bridgette Kekana @welton paulse no..not all but some @welton paulse but remember the fruit of a tree doesnt fall far away from the parent tree..it might be true this guy was creating blank cheques for suppliers zondo is right..that is a blank cheque prinicple
Eslon Eslon,who's this guy. Just join in now what's his name and position at eskom? "@Desmond Matshela Koko!
Munyaradzi Chivhumbu,malema to rule SA land to blacks
Dams daily motivations Madamalala,Hi guys Is the Education they get when the were young Supremacy & Building Asset not House
Cebo Khumalo,So many Indians at Eskom😧?? "It’s actually a question "When we asked this question about the medical campus at UKZN
Sithembele Tutuse,these ads on my screen are disturbing
teniford jackson,following closely from Zambia
WEBSTER MTHULISI MNCUBE,lol
Sanele Myeni,KUSAZONYIWA APHA
Gcobisa Ntsatha,"wow
PETER STAFFEN,"Desmond Masilela he is also giving lots of other info 
Sthakathi Khumalo,"Amatsheketshe ayantshontsha suka The ears are even moving along with the hand gestures.. Gupta cousins.. ziyafana lezinja ziyeba suka!! Another Naidoo Indra Reddy looools!! Did you send an email or something? "Sofia Sofia Typical Gupta associates then Zondo got him!! He was indebt and needed money this one!! He was following instructions he says!! "Felix Muyoba I aggre Bridgette Kekana haaaibo bazokuthelekela
TOMÁS GAMER,absolutely "very clever these guys he knew exactly what was happening "these criminals should be tried in a Kasi Court this guy would win an oscar "criminal "so all this happened in his absence they will never be arrested? this is all a waste of tax payers money the leader of business at the time Cyril and Pravin and the rest knew exactly what was happening "gents and ladies "Indoda "i agree Magda "all i can add cheers
Pamela Sibuta,what's wrong with Sabc today ".
makhosi nobhatyi,If boss speaks it must be done quickly 😃😃😀
Indoda Yamaqiniso,It looks like 99% of the people at the management of Eskom are white and Indian; all foreigners on our land. It's all talk with less documented evidence here "It's Eskom More jails and even more money to keep them in jail. You must be special kind of stupid. do you know how much does it cost the state to run prison settlements? Sending a person to prison for stealing money is a stupid thing to do as you will pump more money to maintain him/her. I bet that's why we chose not to send Apartheid criminals to prison. "I do not mean anything You can turn to eNCA While the family rejoices that the killer of Reeva Steenkamp goes to prison and justice is being served; the reality says the killer is being rehabilitated with state money. Just a typical example right there. ...if you're smart "Corruption is strife with white people "Black diss one of their own together with whites and when it's a white person in the limelight How is the truth racist? "Hence I didn't say ""all white"" people are corrupt. I said corruption is rife amongst white people and they protect each other no matter what "This thing of being loyal to other whites If you tell them today that Apartheid was the most corrupt system they'd deny it. "Ahh... when you tell them the truth "Whites are naturally racists The most racist are always denying it. Your father
Kurt Samson,Anyone else also having issues with the feed reloading every time? "@Sofia Sofia I'm also getting ads loading frequently. Together with the constant video reloads "@JS Bach I generally don't mind ads
Carl Theunissen,@Kurt Samson Yes!! Irritating!!! @Kurt Samson Avast has an adblocker. Works like a bomb. 😂😂😂😂 Nee man SABC!!!
Brenda Hughes,@Kurt yes he's like a snake trying to slither his way out of this. Zondo is no fool!
Cerebis,"Yes Kurt
Thelsa,SABC Please . . . The feed and sound is captured. Can't somebody please notice it. Is there somebody competent who can actually attend to this ????
Christian W,we need a commission of enquiry into the sabc commission of enquiry feed
Rob Withers,"its called sophisticated cooking the books If you don't rush you will not get yr double check plus bonus "No one can say that there was a lack of discipline at Eskom
Indra Reddy,another Khumalo 🤣
Bridgette Kekana,wow so much money Strip.them their belongings I m waiting for Nomvula Mokonyane to wear orange overalls Gupta brother even his body language says it all he is a liar Zondo is not fool @SOFIA nonono even exploiters yes Ndoda yes Ndoda Agrizzi said he is a racist he did not denied it
Gabisile Mabuza,the 728 million includes the 659 million
Talloolah Moon,Indoda what’s your alternative suggestion Hi Bridgette. Yes! Thought Yes Indoda. So he is removed from society. And so should thieves
Charles Nkadimeng,He was going to be fired SABC please fix your bradcast He was going to be fired
Petrus Mthimkhulu,"liar
Diana Sekatane,the revelations are so shocking we are really in trouble.
sbabalwe dada,"SABC please fix your broadcast
Michael Rijsmus,This is shabeer sheiks BROTHER zONDO KNOWS HIS GUY IS A krook
Lindi 3H Brands,he thinks not following orders is expensive?.. i guess he doesn't have the benefit of hindsight
Magda Seguin,@Franco Gresele Vernie Petersen proved that not all people have a price.Your statement is misleading and provocative @ Welton Paulse you are right I think that as a nation we should stop navel gazing and demand that the ANC seek redemption and fire all the captured cadres...only then can we begin to heal The EFF and BLF have used racial hatred as a political tool and people are following their thetoric traps
rose wheeler,Indoda Yamaqiniso - that it not true
Ben Cole,Here we go again!!! Comments so easily gravitating towards race baiting and generalisations. See if we can all let 1 hour go by without falling into this pit latrine.
