author,message
Peter Masuku,mmmm just me and you watching we are the only ones with no money thats why we are watching lol l get you sisi mpho guys are the guptas still in the country?or have they left with all the money made from this corruption @ Derick definitely they are watching
DJ DJ,no one watching all shopping left country who is been questioned of course they watching i think he could be a stand up comic think they will get to the point and names will be dropped he seems itching to spill the beans
makhosi nobhatyi,😃😃😃😃
Mpho Kgomo,@DJ DJ 😂😂😂😂 I'm not shopping makes three of us oh four "@Peter Masuku NO WE THE ONLY ONES WHO UNDERSTAND He is hot water clearly.
PETER STAFFEN,got to work
Gideon A Vele,Respect to DCJ Zondo he just came from conducting the Judiciary report briefing and now he is chairing the commission. so this guy lied in the draft media statement in order to please the markets...this guy is fishy
Derrick Busani,what where you doing as a COO.......kinda hard to answer who knows they might be watching along with us currently.... current DG of the National Treasury
Coach,"This witness appears nervous The intellect between this guy and previous DG who testified yesterday is mile apart
Nelson Musoliwa,Finance ministry is so important as it regulates state revenue and costing which underpin GDP that is why zuma recklessness is still felt by all of us How can a ddg issue a national statement without contacting his dg. It doesn't make sense to me Wesly can you please elaborate a bit what a profession corruption is please Ja Thando this is really tantamount to treason
Genevieve Pilz,Why is he talking about WMC?
AYE!! its yaddy,Viva ANC Viva
Thulani Bukani,DDG means?
Thembinkosi Kunene,Deputy Director General
Thapelo Masie,this guy seems guilty of something he keeps running away when they ask him about names "@peter pott i see
Desmond Masilela,This guy knows something or his hiding it?
peter pott,"@masie "well this commission can be wrapped in a month. if deputy chief justice can make a ruling that no more political appointees in certain departments. "all witnesses so far are Anc card carrying members. Mentor "uproot political appointees. end of story. they won't be van reopen now the battles of luthuli or conferences are being displayed into national department. "I don't understand this. we are displaying foolish loyalty here. Madiba appointed Chris liebenberg as first finance minister in 1994. in. 1996 he left
vincent mavasa,So he decide to lay for the Nation.. like Giggaba did..this guys they Gigabytes us 😌
Sandile Mabika,he seems surprised like someone wrote the statement on his behalf. i suspect pravin did "des van rooyen was appointed finance minister for 3 days: i.e from friday to sunday. yet this fool is saying  "on wekend 
Mhlonishwa Lindelwa,this people will never stop were have to get to the bottom of this it is totally unacceptable
Mpho Vincent Mashao,"sv x x x c C
Speckled Trim,They probably wanted the rand to tank so they could purchase a few cheap shares 🤔 Everything means nothing Its always been corrupted
Jesus Garcia,What is this chat about? Everything is a lie and the opposites When lies sit in your subconscious they take years away from you
Mcebisi Khanyeza,vrrrrr phaaa!
Thabo Sethaba,corruption has always been there since frm the first democratic government of mandela
Wesley M,Corruption was there in the apartheid government. "what im trying to say Thando is the entire government set up. "Nelson a professional thief is that does not such a messi job
Allan 28,lol DCJ
Nanda Nair,Can somebody please explain why state capture cannot be construed as an act of treason since the actions posed a serious threat to the state and its citizens?
Eslon Eslon,Has Jimmy Manyi appeared already for his second time for cross examination
Nomsa Mdhluli,@Eslon it’s been moved to Monday @Thando that person saved our country yazi It’s Kenya @Thando
Monique Jones,Happy Black Friday y'all
