author,message
Pastor J.J,"I wish you all @elvis......I am innocent so it cant be me or you bro. Thank you Phillip @mbuso.... that is a rather childish claim to make. Blessed morning to you too Jacqui Stop breathing for 2 months then Cruda.hehehehehehe I have to BLOCK these foolish buggers BLOCKED. Peace will come back soon @mbuso....Only intelligent people on this chat. You are the weakest link bro
Elvis Malakoane,who is gracing the stand today? pastor j very true pastor SACR true and she does not get carried away and make up stories Richard Mahope you are correct Mbuso Ndlovu avoid attacking me unnecessarily cos it won't end well Stella Puckree water and lack of refuse collection is a general health hazard and now with virus risk exposure is higher that is over and above no water crisis
Phillip Cwazibe,@Pastro J wish you the same.
Khaya Nkonki,When the State Capture gonna start it’s past 10 o’clock already
Richard Mahope,not starting on time is part of state capture Are they prasa workers Is siyaya shifting for siyangena ladies always understand themselves Man always under estimate these poor souls uncountable what a smart lady. Dont forget Toyota corona is the strongest Japanese car Nothing impossible Blessing in disguise what would happen considering the pandemic That's also part of state capture
Norma Day,Africa time
makhosi nobhatyi,DCJ wants to call it a day The day just started now sefuna ukuhamba manje 😂😃😂@ mbuso Ndlovu
Dumile Mateza,Who is this witness
CYBER SECURITY,aba chabe corona naa??
SACR FOUNDATION,"I love Martha Ngoye She is not law disability like other female lawyer that has appeared here before her. She need to intercede for our Public Protector
Mbuso Ndlovu,@makhosi Zondo is tired today @Elvis Malakoane Stop taking sides @Elvis Malakoane Stop femisism "Hi everyone But stock is limited. First come first serve!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Stop being negetive guys. Let us all be positive Together we can overcome this Corona @Owen Nyilika We do have trains ihave just used one yesteday Sorry What is this lady is lying When is R Kelly comming out from prison??????????????????????????????? Malema must come back and gorven this Countyr
Vuyisani Sikobi,Mbuso Ndlovu the coronavirus is no joke
Adil Minhas,how many cases in s.a? no man
Paul Buchel,"@Adil Minhas
Ngagara Mntungwa,Zondo is confused he's just not himself today
Jacqui Baumgardt,Morning all @Pastor J - go for it
Charles Nkadimeng,"Inter site was corrupt if they go deep into the investigation of this inter site and Prasa
Owen Nyilika,We have no trains today bcouse of this corruption happening in Prasa Johanneburg and Germiston no train Power Cables all are down stolen by Nyaupes
james bowyer,I would like to ask a Question what is actuality happening to our country
Cruda Bex,I am scared of the air I breath
Raymond Valoi,it's seems like she is not sure about what she's saying
Salman Musthafa,can you give a chance to deliver some words at UN. it is my dream. iam a indian. name is salman. i can say the approachs of islam about corona.
Glorify Gumede,'I will never understand this society . First they try to murder me then they lie to me' Amaru
Stella Puckree,what happens to people.who sttugglle fot water
xx xx,Hello morning pastor
foe CheapTimes!,too many symbolism 33 written all over this...so its fake.
Sakey Punch,ម។។ ។
tom selleck,PRESS W TO BUILD A WALL PRESS W TO BUILD A WALL 🌋 PRESS E IF THIS IS THE END 🌋 PRESS E IF THIS IS THE END 🌋 PRESS E IF THIS IS THE END 🌋 PRESS E IF THIS IS THE END IT IS PRESS E PRESS A IF YOU'D SMASH ARIANA GRANDE 🍔🍟 PRESS B TO BRING BACK THE McRIB 🍔🍟 PRESS B TO BRING BACK THE McRIB IT'S THE END BECAUSE MCDONALDS CHANGED THEIR MENU PRESS K IF YOU'D SMASH KATE UPTON PRESS W TO BUILD A WALL
Matome Mack,l
Jay Cheeks,I don’t know Hope not Wonder what else they are covering up E Dang Neither have i Lol Y u say it’s the end for Naw Hey Y u say it’s the end ??????????? Tom?????????? Lol Y How Wat a guy Naw
roberson644,"um why did this auto play for me
Miki Ciao,Lol
Lloyd Marera,: : .
Mathews Molokomme,"let's deal with corona
oupa masehla,lol
Welcome Kamogelo,wht is happening here???is this the same platform to talk abt state capture?
Rob Nel,"Been taken over by idiots
Kreb,rapture time
Musa Nxumalo,Corona Corona Corona Corona!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Omar Faruq,WWWWW W W W W W
Héctor Cabello,:V
harrison bonga,lets fight corona virus
Shayani Hanshi,hi op wow ❤❤❤❤❤❤❤❤❤
Alkalo Juwara,what is happening today
Thulani Msiza,Lol 😂
Emmanuel Magada,hey
