author,message
Mzalwane Mzala,The state opposes bail for Agrizzi @Sanjay Maharaj Agrizzi did not declare assets that are valued in Millions and some of these are in foreign countries. Agrizzi handed over to the state a South African passport in his first case but did not reveal that he is also a holder of an Italian passport. The decision on the bail has not been made yet. He recently transferred about 11 Million Rands to Italy. I am still questioning why was Agrizzi allowed to auction his house last week. @Sekgololo Johannes MTN also sold BEE shares to ordinary black people I still hold Sasol BEE shares that were sold to ordinary black people I agree @wim louw Agrizzi is a flight-risk. The case of the VBS CFO is a stark reminder that state witness can be given a custodial sentence. Agrizzi knows this. Trump's victory in 2016 is another reminder that people vote in elections based on a variety of reasons. I find it strange when some in South Africa expect us to vote based only on what they hold dear
Mr K Lakhan ʕ•ᴥ•ʔ,hi-0✋🏽 though ...... "...in the previous live stream...I said Hi-0 ✋🏽 ....and then couldn't find the link 🍎🐛 ag rizzi .....so he was an Italian? was..now he is South Citizen 😳 Italy "...there's one Italian in india Como and Pelosi are Italians that undermine the Government of the United States of America Mafia al-capone [ loud whistle ] woooooooo. yerrrrr man is it? why you can't be competent and put your affairs on a state channel "For your incompetence "This is a live chat "Then YOU people "as I was saying "🤔 I was thinking You pipol Ay you pipol..still backward ".....note  "the mob I'm none off those. Trump will win by a small margin ...please help small children pastor don't ra pe "..calling someone Goat blocked pastor and reported him for child abuse Italian mafia. why they got so sensitive for that statement? 🤔 "..even if the Church is from Rome This is were our problems start if we can't talk about Trump and America....in my own free country....then are we allowed to talk about Xitler? 3K only seven people chatting "are we still on the italy holy mafia ..I understand you are upset ..as a Christian..but the Italian broke the law What do youll people of South Africa think? "..and btw he is not happy to disclose the truth ..I'm not happy. I'm not happy with the xenophobia I experienced here.. yeah Yes please help him with the mic Thanks DJ He mixed like a DJ why the man got a purple band on his hand? my people know? true saw his body language... ag rizzi took 20million to Italy. 🍕 that's alot off pizza money "Yeah "Three people off a syndicate ..so really can't blame the Professionals Reported to Stephens no "The Italian "..we cant be bringing down South Africans  How do we SAfricans win then? Mafia also explains the crime. "..and we are falsely thinking it is Government. the mafia ( Italy) holy mafia "you pipol wow...I just solved the mystery too who is causing the shadow violence here in SA Spaghetti 🍝 coming out.. ciao. "Myburg says he got ""my view"" ....nobody here asking him to think the same?" where those momparas went? hi louw. the share market will depend on the Friday Senegal thing "IMF was recommended to sell their gold to bail out 73 ""poor"" countries. if they comply ..now I know. "Have you'll noticed "..it was because in Zumas time "..I always defend yeah.its called a degree "...mostly  ..and when the Degreed people loot...they loot 20million plus ..what happened to sodis car. It needs to be used "That's true. I seen it here 🤔 Everyday I come here... because I'm unemployed and got nothing better to do.......and you'll tell me Zuma is coming tomorrow ..and everyday he is not here. when is he coming?
Diana Sekatane,yes Mzala he didn't disclose crucial information. "This animal called 3bee must be stopped on it's tracks correct Johannes. "I feel pity for people who worked directly under these corrupt predators Rox Agrizzi has health issues. It was one of the reason to blow the whistle.. to off load. Simmy correct together with Gavin Watson. "The witness seat is really hot People are selling their souls for dirty money and compromising their professions and losing their self worth and identity. What was so special with this Gama guy? Rox due to his corrupt nature that is why they want him to come and loot more. During Zuma when you are suspended it means you don't want t toe the line of stealing. Wim this is a mafia state
Petrus Mthimkhulu,We have been Aggrizzed and grizzled by Aggrizzy. Petamonga
Sipho Nongalo,bazonya yey lomlungu Molo Naledi oh boy!!!
Rohi π,2020 is a year of note! Q-anon
SD Gudunkomo,it's boring at the commission today Naledi m tired of connecting dots. so it's assumptions. it's his assumptions assumptions🤣 when you drop Zuma's name automatically you become the friend of the commission
Mduduzi Thabede,Not really No chair 😂😂
Sekgololo Johannes,"The US is undermining itself. Obama started this along with the Democrats by inventing this ""Russia fear"" out of unsubstantiated allegations." "@Diana Sekatane BEE is just for the elites This State Capture counsel is excellent He is punchy I like that "@Ozzy Ozzy Useless useless "I need this lawyer Can they just bring WIm Trangove SC here Lol this witness is/was caught he is a liar This one does not know anything Why is he even here for lying
Donnavin Sukram,"Mr Lakhan. pelosi is pure evil. she wants to revoke the 25th amendment so she can replace Kamila harris with biden as president "not whoo bro.. Harris is evil also.. She witheld evidence of 2 black males on death row i agree val. "herb gets your facts straight herb.. Trump is going to win by a record margin Shame herb
