author,message
BOIKANYO MOLOI,General Salute @ntuthuko nene actually is ARROGANCE NEPOTISM CORRUPTION lol number 1
Cerebis,Adv Myburgh is in a hurry today. "@Nolan aka BlazerMax18 Many people do not pay their license fees. Taxpayers Bailouts have kept SABC alive @madzi Kuse Was he not appointed after that as an Ambassador somewhere? I am waiting for the Zuma cabal and the Malema cabal bank statements. Fun and games on the way guys? Let go of the balls guys? ANC Government was forced to set up this Commission by the Courts and Thuli. Zuma wanted to put his own corrupt Judge in place and was stopped. ANC is accused No 1 led by ex No 1 Zuma. @Mfanafuthi Gama I agree that they were and still are the Government. The ANC tried their level best to sink this commission under Zuma. @Lebohang Mofokeng 100% Agree with you. @Cooler Cat Totally agree! "@14nateg I have no land "@14nateg Hehehe "@14nateg As a Taxpayer myself EFF people are now attacking the Zondo Commission while hiding their Bank accounts. It will not work! South Africans are onto you guys and want the crooks in jail. "@Some guy OK Carlton Centre....now days they all go to Melrose Arch? Singh W Singh was stewing them in Gupta Curry All the Transnet and Eskom corrupt names are coming out here! Anoj Singh will not do well in jail. @Lona Devu Malema does speak a lot of crap. He goes to a court case about alleged farm murderers and announces that there are no farm murders in SA. Has he and the President have the same view? Looks like Melrose Arch was the local meeting place of the Gupta State Capture Thugs? Murder in our Constitution? There is no mention of murder in our Constitution....Eish Man. Murder in SA is a major issue in SA. we murder about 50 citizens every day on average. Sad hey? "@Njabulo Mlangeni ""We Don't Have ""Farm Murder"" In Our Constitution: I was reacting to that statement of yours." Come on 8th December. I am tired of this corruption!
Owen Nyilika,@joyce tendai Zvavareyi ninjani lol Name of Adv today @Blake Yogi name of adv is who @Blake Yogi thanks zuma is no 1 Who is Mr Padayachi and Mr Reddy @Anne M. thanks for answer yaa neeeeeee Mr Sighn is the master of connection in transnet ESSA HAVE ALL INFORMATION IN TRANSNET AND ESKOM Spill the beans Mr Bester Mr Bester is answer question better than Mr Mkhwanazi yesterday @12 40 thanks
Andy,corruption free greetings everybody another fresh face @Mbuso wee Mbuso ngiyakukhuza "Bester is not a hostile witness "@Aubrey forget "Adv Hofmeyer has a competition for my crushing "@Akhonamandla I'm just taking 2 bro @Valencia ouch "I once heard that Andile must still attend go on a hike in the mountain guys what's Adv My Love's name 😊 thanks Blake tjooo she is killing me softly with that voice. I can hear her saying to me 'love please don't forget to buy milk on your way home' 🥳 @madzi ? Akhonamandla stop it you are trespassing
Musa Mabunda,@Mbuso Ndlovu 😅😅😅😅
Gudani Kwinda,lets register progress @ Valencia morning
Mbuso Ndlovu,@SanFran Arnold 👍👍👍 25 Buillion???????????????????? @Blake Yogi Zondo's daughter @Andy 🤣🤣🤣🤣🤣🤣 @Zinhle Big Daddy Dee What question???????????????????? @Valencia J 50/50 Who is Numer Uno??????????????????????? WEe need president like TRUMP @Mfanafuthi Gama 🤣🤣🤣🤣 @Mfanafuthi Gama Trump love America and its people. @Singi Mathebula Her son is implicated in corruption that's why she calls for amnesty. This is SATAFRIKA🤣🤣🤣🤣🤣🤣🤣 @Singi Mathebula Her son was spotted in SAxonworld enjoying curry there We need to take more rights from man and give them to wemen!!!!!!!!!!!!!!!!!💪💪💪💪💪💪💪 @Singi Mathebula Deduzane Zuma "@FieliesSA "" WE MEN""" "@Singi Mathebula Just Kidding @Peter Prentice U cant't judge a croock by its cover Julius is a future President💪💪💪💪💪💪💪💪AMANDLA!!!!!!!!!!!!!!!!!!!!!!!!!!!!! @MIKE DURBAN @Mzi Nto @Mahendra Dabideen Julius will appologize to the ANC and will take him back and then take over the country @Linda Ncapai Look originally i'm from Europe (Spain). I was born in SA. I'mgoing back to Spain next month
TheQueen V,morning everyone hendrik Jacobus gaan weer uitpak vandag @blake he is resting today ready for his next victim 😂 @Some guy just log off then and rest @Big Daddy is that your final answer or would you like to phone a friend? @Blake for real imagine complaining the whe time but yet you stay 😂😂 "@Big Daddy you can even go check with your ancestors @Big Daddy I can explain but I doubt you have the capacity to indulge such info. "@Phil because you listen to dictators noise makers "@Phil it's not about the land "@Big Daddy big daddy mxm as for having it better. you clearly live under a rock. Anyway that's it for today. I don't have energy for you today @Gama still waiting for your point exactly big daddy suka mahn hamba satan @Johnno this is not suppose to be a sitcom. it's serious business "big daddy born and bred in this very beautiful land destroyed by ruling party @Pastor goodmorning I trust you are well. Big Daddy thinks you are talking to me when reffering to @Val 😂😂 why I don't know 😂😂😂😂😂 some people here just whack @Blake for real I don't know. 😂😂😂 "big daddy even if you vote for afriforum birds of a feather 🐦
ma baker,do these people know that zero has a value. question: when did this witness join Transnet. glad to see some are paying attention We know there was corruption. we need names and that's what we get. chair will assist her. politics and religion are no no's. this is not a cavassing platform. agree Jenny.
Precious Ntshangase,"Thieves though they had everything under cover I would call her SEagul She is audible nje Chair ''Sent by number 1''😂 "No.1 South Africa was gone....had Zuma finished his second term "@Lebohang Mofokeng I know Beautiful Advocate indeed "@Mfanafuthi Gama She has that too
