author,message
Thelsa,I see no screening ??? Streaming has been captured 😱 There's a constant debate who invented live streaming . . but it is quite clear who stuffed it up
PETER STAFFEN,what is happening
babette fagan,are we waiting again "i have tried
Blaze 613,I am here just for the sandwiches!! "these people say billion like it`s nothing
Madelein R,The feed works on ENCA What is this runjules1? Virus? Blocked them
Tich Ziny,am salivating in anticipation of what to come but only to come down to earth with despair... is there traffic jam somewhere!
LionView,jacob jz supporters say he knew nothing. if true what a poor manager of our country.
Derek Main,Zuma wasn't there to manage - only to steal. "@Makhosi Ngobe If the Guptas don't give their version here @babette fagan It comes back because they keep using different user ids. You have to block and report each different one. The spam I reckon.
makhosi nobhatyi,Zuma was a main man using people to channel money to Guptas and his son and get share. All of these people have bank account at Dubai
Michael Michael,y money wz moving like orange river makhosi is better to steal it.rubbish
Slavic Peter,We are fixing the country exe
Andre' Van Zyl,and now? this is ridiculous. sabc fix this pls
Vish Govender,SABC please get the focus right
thando cezula,Who is this? i hope the Hawks are listening to this testimony and performing their own investigations!
Anthony Ramasike,Mr Mnyandu get lost with this spam what to do to get rid of this definately
Felix Muyoba,i blocked that creature as well..very irritating! @Peter Makinta just block those things @Mandla Mlambo spems😂😂😂
Oupa Peter Makinta,What is all about this emojis?
Makhosi Ngobe,"This commission have lost an interest no one * has been . . . STOP WASTING TAX OUR MONEY TO THIS USELESS COMMISSION. "The thing is Guptas who are allegedly at the center of this have not been able to give their version of the story and it doesn't look like they are prepared to back and answer the questions pertaninig to this "So How is this whole money going to be recovered ? ? ?
Born free,BEX Gupta linked company I agree the Guptas will have to appear before this commission their hands are in every piece of every pie. BEX is a Gupta linked company. Regiments isn't this another Gupta linked company? BEX and Regiments are Gupta linked companies. It is the same person putting this garbage on this live chat.. I think I know who it is.. on to it.
Alma Torlage,Don't just block - report spammers as well so that their servers can be stopped
TUMELO MAIGANYA,this is just a waste of government money where will this people end when they will be founded guilty
Eleanor Diplock,ADMIN! WHERE ARE YOU?????
Godfrey Pilane,cant this be stopped or blocked???
Reinette Raubenheimer,don't open this junk! scammers! don't open! scammers! SABC PLEASE get an IT expert to block these annoying scammers!!! free advertisement for criminals!!!! free live streaming for criminals!!!! you sponsor them SABC
vukile fikile,Tomika susiqhela wena nkukuma
Anne M.,"Please click on the 3 dots to the right of the name and click on Report. Hopefully And then click on the 3 dots and click on Block. @Anthony Ramasike Are you asking about the Inquiry or the spam? @Anthony Ramasike Please click on the 3 dots to the right of the name and click on Report. And then click on the 3 dots and click on Block. . "I wonder if this spamming is being done deliberately @Mandla Mlambo Please click on the 3 dots to the right of the name and click on Report. And then click on the 3 dots and click on Block. You must click on the spam name and 3 dots come up. Choose Block. @Mandla Mlambo 🤣
Mzansi Entertainment,awusiyeke wena
Nhlonipho Edgar Nukeri,🙉 🙌🙌
Millicent Shozi,EFF✊
William Pieters,click on 3dots on side of post and block...
Mandla Mlambo,admin please stop this spems I don't see the stop option k got it tanks man
