author,message
Talent P Sibisi,Agrizzi boy tells us more baby Mr Zuma and your friends look what's you did but ANC will defend him check the space no one will touch this guy Agrizzi we need the truth here we don't scade of White Monopole here Baleka she's nothing and she will do nothing to us as a EFF here mnxn what's happen to the sound @Thando thank u ✊ Baleka she think she's clever here not this time we prepper fo #Sona2019 this time cause we need Agrizzi This is Black People's Land not White or Pink people shirt here we tired of white monopole in South Africa now mnxn . Am not goner pay a cent for my Land Am done Agrizzi starting to hide something there Helen Zile maybe she's there hmmm People can u Vote for me as a money keeper @viewing he's staying @KZN Durban KwaMashu come en visit him @Kekana this is Money Bru kwaaaa nobody will kill someone here we don't need Gramma here @viewing stop viewing our post kwaaaaaaa @cele whose crying Ramanyusa where are hmmmmm @Viewing who told u Data made by White people fuseg mani mnxn @viewing who told u that's someone was playing with @viewing White people always still technolodge to Black People calm now Ramaphosa is look like old KFC eater Marikana vs Ramaphosa asikhohliwe @viewing please pay a respect to us a Black People u staying in our Land for free behave ok son @viewing get someone whose goner translate this for u (Umhlaba wokhokho wethu lona sowulwela and sowufela if sifela kuwona sojabula futhi ngoba izizukulwane zokwazi ukuthi salalaphi) @viewing u Racist get out on my side u Agrizi brother
jeevan singh,Please leave racism off this platform or leave. hi all is the picture frozen is it just me.
Kevin OConnell,Zondo is being fair with regards to this Press issue @Nthabiseng Malebo - I agree with you fully Eskimo - Cool Down 😂 @ Nthabiseng Malebo - Fully Agree @Emmanuel Phaladi - Agreed but this is about Corruption @Nthabiseng Malebo 👏👏 @david cele - I agree with you @Sthakathi Khumalo Love it Great reply
andries mbethe,It's tough
Lesiba Chokoe,@david cele u can block this viewing Viewing is blocked
Lavhelesani Ramudingane,ANC IS NO MORE I THINK EFF IS FOR CLEVER PEOPLE 🙈🙈🙈 WHO IS COMING AFTER AGRIZZI? I LOVE AGRIZZI AS WELL💞💞💞💞 WHOEVER IS STILL SAYING EFF STOLE VBS MONEY IS STUPID AND CAN'T READ. ADV. Terry's report never mentioned EFF AGRIZZI IS A HERO AGRIZZI MUST NOT BE ARRESTED AGRIZZI FOR SA PRESIDENT
Malebo,Why are you people fighting about race and ….Lets stick to the point. If Agrizzi is willing to assist in any way. Why get a court order "Agrizzi was right when he mentioned to the chair before lunch Pretorius is making it difficult for Agrizzi If I was Agrizzi I would leave this country after my testimony. "Guys They are on an adjournment. The sound will be on when Zondo returns "Definitely Ramaphosa We are all racists mane. Get over it. Lets look at the facts of the testimony Pretorius needs to shut up now. "Agrizzi looks more refreshed after lunch break "Yes Watson has left the country just like the Guptas. We are all racist under pressure "True "They thought he was just a messenger "So Why are you all being so rattled by racism. You people (Nandos) all need to chill Why cant Ramaphosa pay the money that he stole. TRUE Do you know how Ramaphosa became so called rich "We all don't know how these thieves got their money So we cant come here and say Ramaphosa did not steal money Manuel is also corrupt. true "If I was in those circles "Ramaphosa is going all over the world to get investors "The VBS's real story is also going to come out haha They paid the wrong person to keep quite You are all so tense. We should all get together for a braai. Racist blah blah. Missing Agrizzi's point This country needs more people like this. people who will just call a spade a spade Eskimo needs help Zondo is out of order. He failed to protect Agrri Agrizzi is an honourable man
S M,Because not all whites were named
Bevil Carey,ROTTEN BALLS??????? Yandi hectic.......lol
Eslon Eslon,"chair plz protect Agrizzi Pretorius bullied Agrizzi and even make prejudiciary conclusion that Agrizzi motivation to testify at the commission was racism. Is that his position to make such a statement I wonder? @Yandy Masina "@Yandi Masina "@Bridgette Kekana The commission need to look into Agrizzi information not on the basis of his skin color or motivation like Pretorius wants us to believe "@Yandi Masina "@Yandi Masina SA Journalists are bunch of compromised and embedded individuals who's there to advance agendas of certain politicians and those in power "@Bafana Thebe
